reactor,run,echem,rep,minutes,E,t,electrode,current,exp
transfer,1,GC,1,954.3666666666667,0,0.33333334,i1,-1.1128488e-7,1
transfer,1,GC,1,954.3666666666667,-0.001,0.66666669,i1,-1.0269005e-7,1
transfer,1,GC,1,954.3666666666667,-0.002,1,i1,-9.5592206e-8,1
transfer,1,GC,1,954.3666666666667,-0.003,1.3333334,i1,-8.9854417e-8,1
transfer,1,GC,1,954.3666666666667,-0.004,1.6666667,i1,-8.48231e-8,1
transfer,1,GC,1,954.3666666666667,-0.005,2,i1,-8.0531002e-8,1
transfer,1,GC,1,954.3666666666667,-0.006,2.3333333,i1,-7.6770192e-8,1
transfer,1,GC,1,954.3666666666667,-0.007,2.6666665,i1,-7.3413744e-8,1
transfer,1,GC,1,954.3666666666667,-0.008,2.9999998,i1,-7.0448309e-8,1
transfer,1,GC,1,954.3666666666667,-0.009,3.333333,i1,-6.7719327e-8,1
transfer,1,GC,1,954.3666666666667,-0.01,3.6666663,i1,-6.5344061e-8,1
transfer,1,GC,1,954.3666666666667,-0.011,3.9999995,i1,-6.3167612e-8,1
transfer,1,GC,1,954.3666666666667,-0.012,4.333333,i1,-6.1151496e-8,1
transfer,1,GC,1,954.3666666666667,-0.013,4.6666665,i1,-5.9226995e-8,1
transfer,1,GC,1,954.3666666666667,-0.014,5,i1,-5.7473923e-8,1
transfer,1,GC,1,954.3666666666667,-0.015,5.3333335,i1,-5.5809117e-8,1
transfer,1,GC,1,954.3666666666667,-0.016,5.666667,i1,-5.4391624e-8,1
transfer,1,GC,1,954.3666666666667,-0.017,6.0000005,i1,-5.2970694e-8,1
transfer,1,GC,1,954.3666666666667,-0.018,6.333334,i1,-5.1702823e-8,1
transfer,1,GC,1,954.3666666666667,-0.019,6.6666675,i1,-5.0457313e-8,1
transfer,1,GC,1,954.3666666666667,-0.02,7.000001,i1,-4.936917e-8,1
transfer,1,GC,1,954.3666666666667,-0.021,7.3333344,i1,-4.8244363e-8,1
transfer,1,GC,1,954.3666666666667,-0.022,7.6666679,i1,-4.7253039e-8,1
transfer,1,GC,1,954.3666666666667,-0.023,8.000001,i1,-4.6260276e-8,1
transfer,1,GC,1,954.3666666666667,-0.024,8.333334,i1,-4.5352262e-8,1
transfer,1,GC,1,954.3666666666667,-0.025,8.666667,i1,-4.44393e-8,1
transfer,1,GC,1,954.3666666666667,-0.026,9,i1,-4.3601347e-8,1
transfer,1,GC,1,954.3666666666667,-0.027,9.333333,i1,-4.27979e-8,1
transfer,1,GC,1,954.3666666666667,-0.028,9.666666,i1,-4.2009955e-8,1
transfer,1,GC,1,954.3666666666667,-0.029,9.999999,i1,-4.1298531e-8,1
transfer,1,GC,1,954.3666666666667,-0.03,10.333332,i1,-4.0590145e-8,1
transfer,1,GC,1,954.3666666666667,-0.031,10.666665,i1,-3.9919779e-8,1
transfer,1,GC,1,954.3666666666667,-0.032,10.999998,i1,-3.9212193e-8,1
transfer,1,GC,1,954.3666666666667,-0.033,11.333331,i1,-3.8609489e-8,1
transfer,1,GC,1,954.3666666666667,-0.034,11.666664,i1,-3.8049762e-8,1
transfer,1,GC,1,954.3666666666667,-0.035,11.999997,i1,-3.7495145e-8,1
transfer,1,GC,1,954.3666666666667,-0.036,12.33333,i1,-3.6982467e-8,1
transfer,1,GC,1,954.3666666666667,-0.037,12.666663,i1,-3.6407961e-8,1
transfer,1,GC,1,954.3666666666667,-0.038,12.999996,i1,-3.5964938e-8,1
transfer,1,GC,1,954.3666666666667,-0.039,13.333329,i1,-3.5422705e-8,1
transfer,1,GC,1,954.3666666666667,-0.04,13.666662,i1,-3.4933592e-8,1
transfer,1,GC,1,954.3666666666667,-0.041,13.999995,i1,-3.4478667e-8,1
