reactor,run,echem,rep,minutes,E,electrode,current,exp
transfer,1,SWV,0,951.75,0.099,i1,1.1434723e-7,1
transfer,1,SWV,0,951.75,0.098,i1,1.4699901e-7,1
transfer,1,SWV,0,951.75,0.097,i1,1.5364481e-7,1
transfer,1,SWV,0,951.75,0.096,i1,1.2630306e-7,1
transfer,1,SWV,0,951.75,0.095,i1,1.5441987e-7,1
transfer,1,SWV,0,951.75,0.094,i1,1.2053128e-7,1
transfer,1,SWV,0,951.75,0.093,i1,1.4617446e-7,1
transfer,1,SWV,0,951.75,0.092,i1,1.4690006e-7,1
transfer,1,SWV,0,951.75,0.091,i1,1.3814346e-7,1
transfer,1,SWV,0,951.75,0.09,i1,1.5618438e-7,1
transfer,1,SWV,0,951.75,0.089,i1,1.2559394e-7,1
transfer,1,SWV,0,951.75,0.088,i1,1.5529388e-7,1
transfer,1,SWV,0,951.75,0.087,i1,1.3182748e-7,1
transfer,1,SWV,0,951.75,0.086,i1,1.4093038e-7,1
transfer,1,SWV,0,951.75,0.085,i1,1.4934071e-7,1
transfer,1,SWV,0,951.75,0.084,i1,1.2430766e-7,1
transfer,1,SWV,0,951.75,0.083,i1,1.5445285e-7,1
transfer,1,SWV,0,951.75,0.082,i1,1.2712759e-7,1
transfer,1,SWV,0,951.75,0.081,i1,1.4599307e-7,1
transfer,1,SWV,0,951.75,0.08,i1,1.380445e-7,1
transfer,1,SWV,0,951.75,0.079,i1,1.3542248e-7,1
transfer,1,SWV,0,951.75,0.078,i1,1.461085e-7,1
transfer,1,SWV,0,951.75,0.077,i1,1.2155371e-7,1
transfer,1,SWV,0,951.75,0.076,i1,1.486481e-7,1
transfer,1,SWV,0,951.75,0.075,i1,1.2214737e-7,1
transfer,1,SWV,0,951.75,0.074,i1,1.4096338e-7,1
transfer,1,SWV,0,951.75,0.073,i1,1.4257948e-7,1
transfer,1,SWV,0,951.75,0.072,i1,1.3548843e-7,1
transfer,1,SWV,0,951.75,0.071,i1,1.5587106e-7,1
transfer,1,SWV,0,951.75,0.07,i1,1.2404382e-7,1
transfer,1,SWV,0,951.75,0.069,i1,1.4381628e-7,1
transfer,1,SWV,0,951.75,0.068,i1,1.3563685e-7,1
transfer,1,SWV,0,951.75,0.067,i1,1.371705e-7,1
transfer,1,SWV,0,951.75,0.066,i1,1.4173845e-7,1
transfer,1,SWV,0,951.75,0.065,i1,1.2364805e-7,1
transfer,1,SWV,0,951.75,0.064,i1,1.4886248e-7,1
transfer,1,SWV,0,951.75,0.063,i1,1.2415926e-7,1
transfer,1,SWV,0,951.75,0.062,i1,1.4980245e-7,1
transfer,1,SWV,0,951.75,0.061,i1,1.3383936e-7,1
transfer,1,SWV,0,951.75,0.06,i1,1.3360848e-7,1
transfer,1,SWV,0,951.75,0.059,i1,1.4272791e-7,1
transfer,1,SWV,0,951.75,0.058,i1,1.2143826e-7,1
transfer,1,SWV,0,951.75,0.057,i1,1.4224966e-7,1
transfer,1,SWV,0,951.75,0.056,i1,1.3494423e-7,1
transfer,1,SWV,0,951.75,0.055,i1,1.2753988e-7,1
transfer,1,SWV,0,951.75,0.054,i1,1.3797855e-7,1
transfer,1,SWV,0,951.75,0.053,i1,1.2264211e-7,1
transfer,1,SWV,0,951.75,0.052,i1,1.4119426e-7,1
transfer,1,SWV,0,951.75,0.051,i1,1.2427469e-7,1
transfer,1,SWV,0,951.75,0.05,i1,1.3715402e-7,1
transfer,1,SWV,0,951.75,0.049,i1,1.3385585e-7,1
transfer,1,SWV,0,951.75,0.048,i1,1.2498379e-7,1
transfer,1,SWV,0,951.75,0.047,i1,1.4241456e-7,1
transfer,1,SWV,0,951.75,0.046,i1,1.0977926e-7,1
transfer,1,SWV,0,951.75,0.045,i1,1.3327866e-7,1
transfer,1,SWV,0,951.75,0.044,i1,1.2678129e-7,1
transfer,1,SWV,0,951.75,0.043,i1,1.3916588e-7,1
transfer,1,SWV,0,951.75,0.042,i1,1.4404716e-7,1
transfer,1,SWV,0,951.75,0.041,i1,1.1614473e-7,1
transfer,1,SWV,0,951.75,0.04,i1,1.3924833e-7,1
transfer,1,SWV,0,951.75,0.039,i1,1.1965726e-7,1
transfer,1,SWV,0,951.75,0.038,i1,1.3172853e-7,1
transfer,1,SWV,0,951.75,0.037,i1,1.3311376e-7,1
transfer,1,SWV,0,951.75,0.036,i1,1.2407679e-7,1
transfer,1,SWV,0,951.75,0.035,i1,1.3758277e-7,1
transfer,1,SWV,0,951.75,0.034,i1,1.0921859e-7,1
transfer,1,SWV,0,951.75,0.033,i1,1.4078198e-7,1
transfer,1,SWV,0,951.75,0.032,i1,1.1772784e-7,1
transfer,1,SWV,0,951.75,0.031,i1,1.2684725e-7,1
transfer,1,SWV,0,951.75,0.03,i1,1.3842379e-7,1
