reactor,run,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,current_from_mins,min_current,signal
soak,1,SWV,0,941.1833333333333,-0.267,i1,3.5177354e-6,1,3.5177354e-6,-0.082,1.0069284e-7,1.0069284e-7,3.41704256e-6
transfer,1,SWV,0,951.75,-0.268,i1,3.7691048e-6,1,3.7691048e-6,-0.095,1.0013216e-7,1.0013216e-7,3.6689726400000002e-6
transfer,1,SWV,9,977.2833333333333,-0.268,i1,2.6129675e-7,1,2.6129675e-7,-0.057,9.3469865e-8,9.3469865e-8,1.6782688500000002e-7
transfer,1,SWV,10,980.0666666666667,-0.272,i1,2.5672881e-7,1,2.5672881e-7,-0.127,8.9347168e-8,8.9347168e-8,1.6738164200000003e-7
transfer,1,SWV,11,983.5166666666667,-0.271,i1,2.3202558e-7,1,2.3202558e-7,-0.088,8.9742947e-8,8.9742947e-8,1.42282633e-7
transfer,1,SWV,12,986.2166666666667,-0.264,i1,2.3763246e-7,1,2.3763246e-7,-0.115,8.8572101e-8,8.8572101e-8,1.49060359e-7
transfer,1,SWV,13,988.9666666666667,-0.274,i1,2.2275776e-7,1,2.2275776e-7,-0.072,8.9825399e-8,8.9825399e-8,1.32932361e-7
transfer,1,SWV,14,991.7833333333333,-0.26,i1,2.1185734e-7,1,2.1185734e-7,-0.072,9.1260098e-8,9.1260098e-8,1.20597242e-7
transfer,1,SWV,15,994.5666666666667,-0.275,i1,2.1319309e-7,1,2.1319309e-7,-0.123,9.2562871e-8,9.2562871e-8,1.20630219e-7
transfer,1,SWV,1,954.6666666666666,-0.266,i1,1.263789e-6,1,1.263789e-6,-0.04,9.774098e-8,9.774098e-8,1.16604802e-6
transfer,1,SWV,2,957.35,-0.265,i1,8.4358703e-7,1,8.4358703e-7,-0.034,9.783993e-8,9.783993e-8,7.457471e-7
transfer,1,SWV,3,960.0833333333334,-0.266,i1,6.2495195e-7,1,6.2495195e-7,-0.073,9.21506e-8,9.21506e-8,5.3280135e-7
transfer,1,SWV,4,963.0166666666667,-0.268,i1,4.7336849e-7,1,4.7336849e-7,-0.085,9.4459317e-8,9.4459317e-8,3.78909173e-7
transfer,1,SWV,5,965.75,-0.266,i1,4.0453588e-7,1,4.0453588e-7,-0.078,9.2513403e-8,9.2513403e-8,3.12022477e-7
transfer,1,SWV,6,968.45,-0.268,i1,3.5851005e-7,1,3.5851005e-7,-0.111,9.1853778e-8,9.1853778e-8,2.66656272e-7
transfer,1,SWV,7,971.6666666666666,-0.264,i1,3.0000069e-7,1,3.0000069e-7,-0.088,9.0534499e-8,9.0534499e-8,2.0946619099999998e-7
transfer,1,SWV,8,974.4,-0.265,i1,2.8309759e-7,1,2.8309759e-7,-0.072,9.040258e-8,9.040258e-8,1.9269500999999998e-7
soak,2,SWV,0,1009.4,-0.27,i1,3.5580556e-6,1,3.5580556e-6,-0.058,6.8849104e-8,6.8849104e-8,3.4892064960000003e-6
transfer,2,SWV,0,1017.4666666666667,-0.27,i1,2.495718e-6,1,2.495718e-6,-0.087,9.1853764e-8,9.1853764e-8,2.4038642360000003e-6
transfer,2,SWV,9,1042.5833333333333,-0.27,i1,2.1929469e-7,1,2.1929469e-7,-0.094,8.233858e-8,8.233858e-8,1.3695611e-7
transfer,2,SWV,10,1045.3833333333334,-0.28,i1,2.049312e-7,1,2.049312e-7,-0.121,8.5273939e-8,8.5273939e-8,1.1965726100000002e-7
transfer,2,SWV,11,1048.2333333333333,-0.261,i1,1.9958819e-7,1,1.9958819e-7,-0.083,8.3888708e-8,8.3888708e-8,1.15699482e-7
transfer,2,SWV,12,1050.9666666666667,-0.263,i1,2.0575574e-7,1,2.0575574e-7,-0.104,8.5834628e-8,8.5834628e-8,1.19921112e-7
transfer,2,SWV,13,1053.9333333333334,-0.288,i1,2.0024781e-7,1,2.0024781e-7,-0.093,7.9221813e-8,7.9221813e-8,1.21025997e-7
transfer,2,SWV,14,1056.6833333333334,-0.284,i1,1.9224977e-7,1,1.9224977e-7,-0.144,8.7450722e-8,8.7450722e-8,1.04799048e-7
transfer,2,SWV,15,1059.5,-0.28,i1,1.9025438e-7,1,1.9025438e-7,-0.099,8.2833296e-8,8.2833296e-8,1.07421084e-7
transfer,2,SWV,1,1020.4,-0.275,i1,8.1171027e-7,1,8.1171027e-7,-0.075,8.8621576e-8,8.8621576e-8,7.23088694e-7
transfer,2,SWV,2,1023.1333333333333,-0.265,i1,5.3735283e-7,1,5.3735283e-7,-0.063,8.2486991e-8,8.2486991e-8,4.5486583900000004e-7
transfer,2,SWV,3,1025.8666666666666,-0.271,i1,4.1680502e-7,1,4.1680502e-7,-0.064,7.704503e-8,7.704503e-8,3.3975999000000004e-7
transfer,2,SWV,4,1028.55,-0.271,i1,3.4373429e-7,1,3.4373429e-7,-0.143,8.5818137e-8,8.5818137e-8,2.5791615300000004e-7
transfer,2,SWV,5,1031.2666666666667,-0.271,i1,2.8750065e-7,1,2.8750065e-7,-0.129,8.5950063e-8,8.5950063e-8,2.0155058699999996e-7
transfer,2,SWV,6,1034.4,-0.273,i1,2.650072e-7,1,2.650072e-7,-0.09,7.9436191e-8,7.9436191e-8,1.8557100900000002e-7
transfer,2,SWV,7,1037.1,-0.272,i1,2.4030399e-7,1,2.4030399e-7,-0.151,8.8390699e-8,8.8390699e-8,1.5191329100000002e-7
transfer,2,SWV,8,1039.8333333333333,-0.268,i1,2.2170235e-7,1,2.2170235e-7,-0.08,8.3657838e-8,8.3657838e-8,1.38044512e-7
soak,3,SWV,0,1102.15,-0.268,i1,3.8686926e-6,1,3.8686926e-6,-0.049,1.0425487e-7,1.0425487e-7,3.76443773e-6
transfer,3,SWV,0,1108.9833333333333,-0.27,i1,2.7713618e-6,1,2.7713618e-6,-0.075,9.7114338e-8,9.7114338e-8,2.674247462e-6
transfer,3,SWV,9,1134.0833333333333,-0.268,i1,2.7989839e-7,1,2.7989839e-7,-0.092,9.3271979e-8,9.3271979e-8,1.8662641099999998e-7
