reactor,run,echem,rep,minutes,E_from_maxs,t_from_maxs,electrode,current_from_maxs,exp,max_current,E_from_mins,t_from_mins,current_from_mins,min_current,signal
soak,1,GC,1,944.4,-0.399,133.33363,i2,1.0390906e-6,1,1.0390906e-6,-0.141,47.333298,4.8203891e-8,4.8203891e-8,9.908867089999999e-7
soak,1,GC,2,947.65,-0.399,133.33363,i2,1.0383558e-6,1,1.0383558e-6,-0.151,50.666618,4.2041052e-8,4.2041052e-8,9.96314748e-7
transfer,1,GC,1,954.3666666666667,-0.399,133.33363,i2,3.3464687e-7,1,3.3464687e-7,-0.163,54.666603,2.9937162e-8,2.9937162e-8,3.0470970800000003e-7
transfer,1,GC,10,979.7833333333333,-0.399,133.33363,i2,2.6450426e-8,1,2.6450426e-8,-0.199,66.666588,8.8495549e-9,8.8495549e-9,1.7600871099999997e-8
transfer,1,GC,11,983.1666666666666,-0.399,133.33363,i2,2.2212088e-8,1,2.2212088e-8,-0.205,68.666603,8.9830365e-9,8.9830365e-9,1.3229051499999999e-8
transfer,1,GC,12,985.9666666666667,-0.399,133.33363,i2,2.1074179e-8,1,2.1074179e-8,-0.198,66.333252,7.8754825e-9,7.8754825e-9,1.3198696500000002e-8
transfer,1,GC,13,988.65,-0.399,133.33363,i2,1.8669674e-8,1,1.8669674e-8,-0.204,68.333267,7.5017983e-9,7.5017983e-9,1.11678757e-8
transfer,1,GC,14,991.4166666666666,-0.399,133.33363,i2,1.5683634e-8,1,1.5683634e-8,-0.209,69.999947,7.0139632e-9,7.0139632e-9,8.669670799999999e-9
transfer,1,GC,15,994.2333333333333,-0.399,133.33363,i2,1.5353406e-8,1,1.5353406e-8,-0.209,69.999947,6.9153101e-9,6.9153101e-9,8.438095899999998e-9
transfer,1,GC,2,957.1,-0.399,133.33363,i2,1.9688729e-7,1,1.9688729e-7,-0.169,56.666595,2.3909644e-8,2.3909644e-8,1.72977646e-7
transfer,1,GC,3,959.8333333333334,-0.399,133.33363,i2,1.3323783e-7,1,1.3323783e-7,-0.167,55.999931,2.0071671e-8,2.0071671e-8,1.1316615900000002e-7
transfer,1,GC,4,962.5833333333334,-0.399,133.33363,i2,9.4199699e-8,1,9.4199699e-8,-0.178,59.666584,1.6744776e-8,1.6744776e-8,7.7454923e-8
transfer,1,GC,5,965.45,-0.399,133.33363,i2,7.0591526e-8,1,7.0591526e-8,-0.184,61.666576,1.4271574e-8,1.4271574e-8,5.6319952e-8
transfer,1,GC,6,968.2,-0.399,133.33363,i2,5.5431819e-8,1,5.5431819e-8,-0.179,59.999916,1.2711252e-8,1.2711252e-8,4.2720567e-8
transfer,1,GC,7,970.9,-0.399,133.33363,i2,4.3159424e-8,1,4.3159424e-8,-0.19,63.666569,1.133466e-8,1.133466e-8,3.1824764e-8
transfer,1,GC,8,974.1166666666667,-0.399,133.33363,i2,3.3903586e-8,1,3.3903586e-8,-0.195,65.333244,1.006383e-8,1.006383e-8,2.3839755999999995e-8
transfer,1,GC,9,976.9333333333333,-0.399,133.33363,i2,2.9271593e-8,1,2.9271593e-8,-0.198,66.333252,9.2782768e-9,9.2782768e-9,1.9993316200000004e-8
soak,2,GC,1,1014.75,-0.399,133.33363,i2,8.6088323e-7,1,8.6088323e-7,-0.156,52.333279,2.6883942e-8,2.6883942e-8,8.33999288e-7
transfer,2,GC,1,1020.0833333333334,-0.399,133.33363,i2,1.5488308e-7,1,1.5488308e-7,-0.176,58.99992,1.5244606e-8,1.5244606e-8,1.39638474e-7
transfer,2,GC,10,1045.05,-0.399,133.33363,i2,1.1268838e-8,1,1.1268838e-8,-0.213,71.33329,5.8250906e-9,5.8250906e-9,5.4437473999999995e-9
transfer,2,GC,11,1047.9166666666667,-0.399,133.33363,i2,1.0727723e-8,1,1.0727723e-8,-0.217,72.666634,5.6336154e-9,5.6336154e-9,5.0941075999999995e-9
transfer,2,GC,12,1050.6666666666667,-0.399,133.33363,i2,9.9771587e-9,1,9.9771587e-9,-0.218,72.999969,5.3440461e-9,5.3440461e-9,4.6331125999999995e-9
transfer,2,GC,13,1053.6166666666666,-0.399,133.33363,i2,9.8222683e-9,1,9.8222683e-9,-0.218,72.999969,5.40859e-9,5.40859e-9,4.4136783e-9
transfer,2,GC,14,1056.4,-0.399,133.33363,i2,8.8099332e-9,1,8.8099332e-9,-0.221,73.999977,5.1714228e-9,5.1714228e-9,3.638510399999999e-9
transfer,2,GC,15,1059.15,-0.399,133.33363,i2,7.9454585e-9,1,7.9454585e-9,-0.222,74.333313,4.9423234e-9,4.9423234e-9,3.0031350999999997e-9
transfer,2,GC,2,1022.8333333333334,-0.399,133.33363,i2,8.063148e-8,1,8.063148e-8,-0.183,61.333244,1.1425086e-8,1.1425086e-8,6.920639399999999e-8
transfer,2,GC,3,1025.6166666666666,-0.399,133.33363,i2,4.9406939e-8,1,4.9406939e-8,-0.189,63.333237,9.8820996e-9,9.8820996e-9,3.9524839399999997e-8
transfer,2,GC,4,1028.2833333333333,-0.399,133.33363,i2,3.3036876e-8,1,3.3036876e-8,-0.196,65.66658,8.2653031e-9,8.2653031e-9,2.47715729e-8
transfer,2,GC,5,1030.9833333333333,-0.399,133.33363,i2,2.6007804e-8,1,2.6007804e-8,-0.201,67.33326,7.6991853e-9,7.6991853e-9,1.83086187e-8
transfer,2,GC,6,1034.1666666666667,-0.399,133.33363,i2,2.0422588e-8,1,2.0422588e-8,-0.207,69.333275,7.371991e-9,7.371991e-9,1.3050597000000001e-8
transfer,2,GC,7,1036.8166666666666,-0.399,133.33363,i2,1.6998001e-8,1,1.6998001e-8,-0.207,69.333275,6.6390804e-9,6.6390804e-9,1.0358920600000001e-8
transfer,2,GC,8,1039.5833333333333,-0.399,133.33363,i2,1.4154788e-8,1,1.4154788e-8,-0.211,70.666618,6.3169994e-9,6.3169994e-9,7.8377886e-9
transfer,2,GC,9,1042.3,-0.399,133.33363,i2,1.2988999e-8,1,1.2988999e-8,-0.212,70.999954,5.9018568e-9,5.9018568e-9,7.087142199999999e-9
soak,3,GC,1,1104.8333333333333,-0.399,133.33363,i2,9.8395549e-7,1,9.8395549e-7,-0.157,52.666611,3.7910748e-8,3.7910748e-8,9.460447419999999e-7
transfer,3,GC,1,1111.4833333333333,-0.399,133.33363,i2,2.4151404e-7,1,2.4151404e-7,-0.173,57.999924,2.4928131e-8,2.4928131e-8,2.16585909e-7
transfer,3,GC,10,1136.5333333333333,-0.399,133.33363,i2,1.8555285e-8,1,1.8555285e-8,-0.205,68.666603,6.9525345e-9,6.9525345e-9,1.1602750500000001e-8
transfer,3,GC,11,1139.25,-0.399,133.33363,i2,1.6692214e-8,1,1.6692214e-8,-0.208,69.666611,6.8481296e-9,6.8481296e-9,9.844084399999999e-9
transfer,3,GC,12,1142.0833333333333,-0.399,133.33363,i2,1.5177665e-8,1,1.5177665e-8,-0.209,69.999947,6.499608e-9,6.499608e-9,8.678057000000002e-9
transfer,3,GC,13,1144.8833333333334,-0.399,133.33363,i2,1.3730538e-8,1,1.3730538e-8,-0.211,70.666618,6.3253069e-9,6.3253069e-9,7.405231100000001e-9
transfer,3,GC,14,1147.6333333333334,-0.399,133.33363,i2,1.266572e-8,1,1.266572e-8,-0.214,71.666626,6.1947811e-9,6.1947811e-9,6.470938900000001e-9
transfer,3,GC,15,1150.4333333333334,-0.399,133.33363,i2,1.2138425e-8,1,1.2138425e-8,-0.213,71.33329,5.8369136e-9,5.8369136e-9,6.3015114000000005e-9
transfer,3,GC,2,1114.3,-0.399,133.33363,i2,1.3029612e-7,1,1.3029612e-7,-0.181,60.66658,1.7528331e-8,1.7528331e-8,1.12767789e-7
transfer,3,GC,3,1117,-0.399,133.33363,i2,8.9127084e-8,1,8.9127084e-8,-0.183,61.333244,1.4216694e-8,1.4216694e-8,7.491039e-8
transfer,3,GC,4,1119.75,-0.399,133.33363,i2,6.1866494e-8,1,6.1866494e-8,-0.188,62.999905,1.1784391e-8,1.1784391e-8,5.0082103e-8
transfer,3,GC,5,1122.4833333333333,-0.399,133.33363,i2,4.6520508e-8,1,4.6520508e-8,-0.194,64.999908,1.0103291e-8,1.0103291e-8,3.6417217e-8
transfer,3,GC,6,1125.3166666666666,-0.399,133.33363,i2,3.6709334e-8,1,3.6709334e-8,-0.198,66.333252,9.2082209e-9,9.2082209e-9,2.7501113100000004e-8
transfer,3,GC,7,1128.3,-0.399,133.33363,i2,2.8860363e-8,1,2.8860363e-8,-0.201,67.33326,8.4058938e-9,8.4058938e-9,2.0454469200000003e-8
transfer,3,GC,8,1131.0833333333333,-0.399,133.33363,i2,2.4386376e-8,1,2.4386376e-8,-0.201,67.33326,7.7839379e-9,7.7839379e-9,1.66024381e-8
transfer,3,GC,9,1133.8166666666666,-0.399,133.33363,i2,2.0584906e-8,1,2.0584906e-8,-0.205,68.666603,7.2870772e-9,7.2870772e-9,1.32978288e-8
control,transfer,0,NA,924.6333333333333,-0.399,133.33363,i2,2.9116622e-9,1,2.9116622e-9,-0.338,113.00027,2.545407e-9,2.545407e-9,3.6625520000000006e-10
soak,1,GC,1,918.75,-0.399,133.33363,i2,1.0505896e-6,2,1.0505896e-6,-0.143,47.999962,2.9070039e-8,2.9070039e-8,1.021519561e-6
transfer,1,GC,1,925.5333333333333,-0.399,133.33363,i2,1.511123e-7,2,1.511123e-7,-0.163,54.666603,1.5710819e-8,1.5710819e-8,1.35401481e-7
transfer,1,GC,10,950.95,-0.399,133.33363,i2,2.5776037e-8,2,2.5776037e-8,-0.203,67.999931,6.6347936e-9,6.6347936e-9,1.91412434e-8
transfer,1,GC,11,953.6333333333333,-0.399,133.33363,i2,2.4504031e-8,2,2.4504031e-8,-0.19,63.666569,6.5173196e-9,6.5173196e-9,1.7986711399999998e-8
transfer,1,GC,12,956.35,-0.399,133.33363,i2,2.2027375e-8,2,2.2027375e-8,-0.195,65.333244,6.2776433e-9,6.2776433e-9,1.57497317e-8
transfer,1,GC,13,959.0833333333334,-0.399,133.33363,i2,1.9099614e-8,2,1.9099614e-8,-0.188,62.999905,5.6934617e-9,5.6934617e-9,1.3406152299999998e-8
transfer,1,GC,14,961.8,-0.399,133.33363,i2,1.9159769e-8,2,1.9159769e-8,-0.195,65.333244,5.807391e-9,5.807391e-9,1.3352378e-8
