PHZadded,PYO,reactor,echem,rep,minutes,E_from_maxs,electrode,current_from_maxs,PHZaddedInt,max_current,E_from_mins,current_from_mins,min_current,signal,min_time,time
100uM,PYO,transfer,SWV,0,1157.2166666666667,-0.28,i1,4.6215309e-6,100,4.6215309e-6,0.016,3.4919276e-7,3.4919276e-7,4.2723381400000004e-6,1157.2166666666667,0.1
100uM,PYO,transfer,SWV,9,1158.5166666666667,-0.283,i1,1.4653233e-6,100,1.4653233e-6,0.01,3.419533e-7,3.419533e-7,1.12337e-6,1157.2166666666667,1.3999999999999546
100uM,PYO,transfer,SWV,10,1158.6666666666667,-0.272,i1,1.4402242e-6,100,1.4402242e-6,0.026,3.3860567e-7,3.3860567e-7,1.1016185299999998e-6,1157.2166666666667,1.5500000000000456
100uM,PYO,transfer,SWV,11,1158.8,-0.276,i1,1.4329189e-6,100,1.4329189e-6,-0.004,3.292059e-7,3.292059e-7,1.103713e-6,1157.2166666666667,1.6833333333332576
100uM,PYO,transfer,SWV,12,1158.95,-0.286,i1,1.4071766e-6,100,1.4071766e-6,0.005,3.3771516e-7,3.3771516e-7,1.06946144e-6,1157.2166666666667,1.8333333333333486
100uM,PYO,transfer,SWV,13,1159.0833333333333,-0.284,i1,1.3910487e-6,100,1.3910487e-6,-0.005,3.3425209e-7,3.3425209e-7,1.05679661e-6,1157.2166666666667,1.9666666666665606
100uM,PYO,transfer,SWV,14,1159.2333333333333,-0.275,i1,1.376108e-6,100,1.376108e-6,0.016,3.381769e-7,3.381769e-7,1.0379311e-6,1157.2166666666667,2.1166666666666516
100uM,PYO,transfer,SWV,15,1159.3833333333334,-0.285,i1,1.3642511e-6,100,1.3642511e-6,-0.018,3.3238859e-7,3.3238859e-7,1.03186251e-6,1157.2166666666667,2.2666666666667425
100uM,PYO,transfer,SWV,16,1159.5166666666667,-0.279,i1,1.3584794e-6,100,1.3584794e-6,0.01,3.3321317e-7,3.3321317e-7,1.02526623e-6,1157.2166666666667,2.3999999999999546
100uM,PYO,transfer,SWV,17,1159.6666666666667,-0.276,i1,1.33841e-6,100,1.33841e-6,-0.014,3.3289984e-7,3.3289984e-7,1.00551016e-6,1157.2166666666667,2.5500000000000456
100uM,PYO,transfer,SWV,18,1159.8166666666666,-0.279,i1,1.3385089e-6,100,1.3385089e-6,-0.01,3.3756675e-7,3.3756675e-7,1.00094215e-6,1157.2166666666667,2.699999999999909
100uM,PYO,transfer,SWV,1,1157.3666666666666,-0.275,i1,3.4336817e-6,100,3.4336817e-6,0.009,3.4596053e-7,3.4596053e-7,3.08772117e-6,1157.2166666666667,0.24999999999986358
100uM,PYO,transfer,SWV,19,1159.95,-0.275,i1,1.3282188e-6,100,1.3282188e-6,0.011,3.3733585e-7,3.3733585e-7,9.9088295e-7,1157.2166666666667,2.8333333333333486
100uM,PYO,transfer,SWV,20,1160.1,-0.278,i1,1.3099469e-6,100,1.3099469e-6,-0.016,3.3740184e-7,3.3740184e-7,9.7254506e-7,1157.2166666666667,2.983333333333212
100uM,PYO,transfer,SWV,21,1160.25,-0.276,i1,1.3023116e-6,100,1.3023116e-6,-0.021,3.354229e-7,3.354229e-7,9.668886999999999e-7,1157.2166666666667,3.133333333333303
100uM,PYO,transfer,SWV,22,1160.3833333333334,-0.274,i1,1.3123711e-6,100,1.3123711e-6,-0.007,3.327844e-7,3.327844e-7,9.795867e-7,1157.2166666666667,3.2666666666667425
100uM,PYO,transfer,SWV,23,1160.5333333333333,-0.281,i1,1.2881791e-6,100,1.2881791e-6,0.014,3.3446645e-7,3.3446645e-7,9.5371265e-7,1157.2166666666667,3.416666666666606
100uM,PYO,transfer,SWV,24,1160.6833333333334,-0.294,i1,1.2885253e-6,100,1.2885253e-6,-0.015,3.276063e-7,3.276063e-7,9.609189999999999e-7,1157.2166666666667,3.566666666666697
100uM,PYO,transfer,SWV,25,1160.8166666666666,-0.273,i1,1.2716553e-6,100,1.2716553e-6,-0.018,3.3934771e-7,3.3934771e-7,9.323075900000002e-7,1157.2166666666667,3.699999999999909
100uM,PYO,transfer,SWV,26,1160.9666666666667,-0.288,i1,1.2776414e-6,100,1.2776414e-6,-0.014,3.4142556e-7,3.4142556e-7,9.362158400000001e-7,1157.2166666666667,3.85
100uM,PYO,transfer,SWV,27,1161.1,-0.296,i1,1.2791916e-6,100,1.2791916e-6,-0.017,3.3817687e-7,3.3817687e-7,9.4101473e-7,1157.2166666666667,3.983333333333212
100uM,PYO,transfer,SWV,28,1161.25,-0.288,i1,1.2633109e-6,100,1.2633109e-6,-0.007,3.3045919e-7,3.3045919e-7,9.3285171e-7,1157.2166666666667,4.133333333333303
100uM,PYO,transfer,SWV,2,1157.5,-0.278,i1,2.643591e-6,100,2.643591e-6,-0.001,3.4686755e-7,3.4686755e-7,2.29672345e-6,1157.2166666666667,0.383333333333303
100uM,PYO,transfer,SWV,29,1161.4,-0.289,i1,1.285392e-6,100,1.285392e-6,-0.029,3.3629692e-7,3.3629692e-7,9.4909508e-7,1157.2166666666667,4.283333333333394
100uM,PYO,transfer,SWV,30,1161.5333333333333,-0.299,i1,1.2547357e-6,100,1.2547357e-6,-0.001,3.2196641e-7,3.2196641e-7,9.3276929e-7,1157.2166666666667,4.416666666666606
100uM,PYO,transfer,SWV,31,1161.6833333333334,-0.281,i1,1.2423345e-6,100,1.2423345e-6,-0.016,3.3261949e-7,3.3261949e-7,9.0971501e-7,1157.2166666666667,4.566666666666697
100uM,PYO,transfer,SWV,32,1161.8333333333333,-0.274,i1,1.2439837e-6,100,1.2439837e-6,-0.007,3.3374084e-7,3.3374084e-7,9.1024286e-7,1157.2166666666667,4.71666666666656
100uM,PYO,transfer,SWV,33,1161.9666666666667,-0.277,i1,1.2501182e-6,100,1.2501182e-6,-0.01,3.3712149e-7,3.3712149e-7,9.129967100000001e-7,1157.2166666666667,4.85
100uM,PYO,transfer,SWV,34,1162.1166666666666,-0.287,i1,1.246045e-6,100,1.246045e-6,-0.023,3.3738533e-7,3.3738533e-7,9.0865967e-7,1157.2166666666667,4.999999999999863
100uM,PYO,transfer,SWV,35,1162.2666666666667,-0.279,i1,1.2461276e-6,100,1.2461276e-6,-0.002,3.3827584e-7,3.3827584e-7,9.078517599999999e-7,1157.2166666666667,5.149999999999954
100uM,PYO,transfer,SWV,36,1162.4,-0.282,i1,1.222628e-6,100,1.222628e-6,-0.003,3.3438403e-7,3.3438403e-7,8.882439700000001e-7,1157.2166666666667,5.283333333333394
100uM,PYO,transfer,SWV,37,1162.55,-0.289,i1,1.2283668e-6,100,1.2283668e-6,-0.01,3.3690708e-7,3.3690708e-7,8.914597200000001e-7,1157.2166666666667,5.433333333333257
100uM,PYO,transfer,SWV,38,1162.7,-0.28,i1,1.2257779e-6,100,1.2257779e-6,0.006,3.3860567e-7,3.3860567e-7,8.8717223e-7,1157.2166666666667,5.583333333333348
100uM,PYO,transfer,SWV,3,1157.65,-0.276,i1,2.2090749e-6,100,2.2090749e-6,0.008,3.3853968e-7,3.3853968e-7,1.8705352200000002e-6,1157.2166666666667,0.5333333333333939
100uM,PYO,transfer,SWV,39,1162.8333333333333,-0.293,i1,1.224475e-6,100,1.224475e-6,0.01,3.3952915e-7,3.3952915e-7,8.849458500000001e-7,1157.2166666666667,5.71666666666656
100uM,PYO,transfer,SWV,40,1162.9833333333333,-0.286,i1,1.2215562e-6,100,1.2215562e-6,-0.029,3.3769865e-7,3.3769865e-7,8.838575500000001e-7,1157.2166666666667,5.866666666666651
100uM,PYO,transfer,SWV,41,1163.1166666666666,-0.274,i1,1.2109526e-6,100,1.2109526e-6,-0.019,3.3824284e-7,3.3824284e-7,8.7270976e-7,1157.2166666666667,5.999999999999863
100uM,PYO,transfer,SWV,42,1163.2666666666667,-0.289,i1,1.2132778e-6,100,1.2132778e-6,-0.015,3.378141e-7,3.378141e-7,8.754637000000001e-7,1157.2166666666667,6.149999999999954
100uM,PYO,transfer,SWV,43,1163.4166666666667,-0.295,i1,1.2083965e-6,100,1.2083965e-6,0.013,3.4109576e-7,3.4109576e-7,8.6730074e-7,1157.2166666666667,6.300000000000045
100uM,PYO,transfer,SWV,44,1163.55,-0.276,i1,1.209287e-6,100,1.209287e-6,-0,3.3792952e-7,3.3792952e-7,8.713574800000001e-7,1157.2166666666667,6.433333333333257
100uM,PYO,transfer,SWV,45,1163.7,-0.29,i1,1.2110186e-6,100,1.2110186e-6,0.008,3.4040312e-7,3.4040312e-7,8.7061548e-7,1157.2166666666667,6.583333333333348
100uM,PYO,transfer,SWV,46,1163.85,-0.286,i1,1.2144817e-6,100,1.2144817e-6,-0.007,3.3138269e-7,3.3138269e-7,8.830990100000001e-7,1157.2166666666667,6.733333333333212
100uM,PYO,transfer,SWV,47,1163.9833333333333,-0.289,i1,1.2001676e-6,100,1.2001676e-6,0.009,3.3540644e-7,3.3540644e-7,8.647611599999999e-7,1157.2166666666667,6.866666666666651
100uM,PYO,transfer,SWV,48,1164.1333333333334,-0.29,i1,1.2063022e-6,100,1.2063022e-6,0.001,3.3835829e-7,3.3835829e-7,8.679439099999999e-7,1157.2166666666667,7.016666666666742
100uM,PYO,transfer,SWV,4,1157.8,-0.282,i1,1.8922372e-6,100,1.8922372e-6,-0.003,3.4018876e-7,3.4018876e-7,1.5520484399999999e-6,1157.2166666666667,0.6833333333332575
100uM,PYO,transfer,SWV,49,1164.2833333333333,-0.283,i1,1.2020146e-6,100,1.2020146e-6,-0.007,3.3383981e-7,3.3383981e-7,8.681747899999999e-7,1157.2166666666667,7.166666666666606
100uM,PYO,transfer,SWV,5,1157.9333333333334,-0.278,i1,1.7300995e-6,100,1.7300995e-6,0.001,3.3512609e-7,3.3512609e-7,1.39497341e-6,1157.2166666666667,0.816666666666697
100uM,PYO,transfer,SWV,6,1158.0833333333333,-0.282,i1,1.6115307e-6,100,1.6115307e-6,0.014,3.408154e-7,3.408154e-7,1.2707153e-6,1157.2166666666667,0.9666666666665605
100uM,PYO,transfer,SWV,7,1158.2333333333333,-0.274,i1,1.5471835e-6,100,1.5471835e-6,0.005,3.3764917e-7,3.3764917e-7,1.20953433e-6,1157.2166666666667,1.1166666666666516
100uM,PYO,transfer,SWV,8,1158.3666666666666,-0.279,i1,1.5231399e-6,100,1.5231399e-6,-0,3.351096e-7,3.351096e-7,1.1880303e-6,1157.2166666666667,1.2499999999998637
10uM,PYO,transfer,SWV,0,1037.2833333333333,-0.296,i1,7.5224443e-7,10,7.5224443e-7,-0.199,4.1015923e-7,4.1015923e-7,3.420852e-7,1037.2833333333333,0.1
10uM,PYO,transfer,SWV,9,1038.5833333333333,-0.298,i1,7.5362971e-7,10,7.5362971e-7,-0.189,4.1116516e-7,4.1116516e-7,3.4246454999999995e-7,1037.2833333333333,1.3999999999999546
10uM,PYO,transfer,SWV,10,1040.35,-0.29,i1,7.4894626e-7,10,7.4894626e-7,-0.2,3.630945e-7,3.630945e-7,3.8585176e-7,1037.2833333333333,3.166666666666606
10uM,PYO,transfer,SWV,11,1040.5,-0.296,i1,8.0170037e-7,10,8.0170037e-7,-0.187,3.8228978e-7,3.8228978e-7,4.1941058999999994e-7,1037.2833333333333,3.316666666666697
10uM,PYO,transfer,SWV,12,1040.6333333333334,-0.3,i1,8.0107372e-7,10,8.0107372e-7,-0.196,3.8852329e-7,3.8852329e-7,4.1255043e-7,1037.2833333333333,3.4500000000001365
10uM,PYO,transfer,SWV,13,1040.7833333333333,-0.287,i1,7.3847457e-7,10,7.3847457e-7,-0.197,3.6974029e-7,3.6974029e-7,3.6873427999999996e-7,1037.2833333333333,3.6
10uM,PYO,transfer,SWV,14,1040.9333333333334,-0.293,i1,7.5318439e-7,10,7.5318439e-7,-0.172,3.8461499e-7,3.8461499e-7,3.6856939999999997e-7,1037.2833333333333,3.750000000000091
10uM,PYO,transfer,SWV,15,1041.0666666666666,-0.297,i1,7.309053e-7,10,7.309053e-7,-0.166,3.9472383e-7,3.9472383e-7,3.3618147e-7,1037.2833333333333,3.883333333333303
