echem_SWV,rep,minutes_SWV,E_from_maxs_SWV,electrode_SWV,current_from_maxs_SWV,max_current_SWV,E_from_mins_SWV,current_from_mins_SWV,min_current_SWV,signal_SWV,min_time_SWV,time_SWV,echem_GC,minutes_GC,E_from_maxs_GC,electrode_GC,current_from_maxs_GC,max_current_GC,E_from_mins_GC,current_from_mins_GC,min_current_GC,signal_GC,min_time_GC,time_GC
swv,0,976.6166666666667,-0.314,i1,4.661752e-6,4.661752e-6,-0.1,6.1974077e-7,6.1974077e-7,4.042011230000001e-6,976.6166666666667,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
swv,9,999.1166666666667,-0.26,i1,7.50315e-7,7.50315e-7,-0.132,3.1631006e-7,3.1631006e-7,4.3400494e-7,976.6166666666667,23,gc,998.9333333333333,-0.399,i2,1.4309196e-8,1.4309196e-8,-0.19,3.2035481e-9,3.2035481e-9,1.11056479e-8,976.6166666666667,22.816666666666606
swv,10,1001.6166666666667,-0.255,i1,7.3629781e-7,7.3629781e-7,-0.139,3.150073e-7,3.150073e-7,4.2129051000000003e-7,976.6166666666667,25.5,gc,1001.4333333333333,-0.399,i2,1.238989e-8,1.238989e-8,-0.195,3.0365965e-9,3.0365965e-9,9.3532935e-9,976.6166666666667,25.316666666666606
swv,11,1004.1166666666667,-0.283,i1,7.17185e-7,7.17185e-7,-0.114,3.0738855e-7,3.0738855e-7,4.0979645e-7,976.6166666666667,28,gc,1003.9333333333333,-0.399,i2,1.0214724e-8,1.0214724e-8,-0.189,2.7424736e-9,2.7424736e-9,7.472250400000001e-9,976.6166666666667,27.816666666666606
swv,12,1006.6166666666667,-0.262,i1,6.9607665e-7,6.9607665e-7,-0.118,2.9769194e-7,2.9769194e-7,3.9838471e-7,976.6166666666667,30.5,gc,1006.4333333333333,-0.399,i2,9.909737e-9,9.909737e-9,-0.198,2.6276046e-9,2.6276046e-9,7.2821323999999995e-9,976.6166666666667,30.316666666666606
swv,13,1009.1166666666667,-0.269,i1,7.1095144e-7,7.1095144e-7,-0.098,2.94031e-7,2.94031e-7,4.1692043999999996e-7,976.6166666666667,33,gc,1008.9333333333333,-0.399,i2,8.9001189e-9,8.9001189e-9,-0.199,2.5770397e-9,2.5770397e-9,6.3230792e-9,976.6166666666667,32.816666666666606
swv,14,1011.6166666666667,-0.282,i1,6.972806e-7,6.972806e-7,-0.101,2.9797229e-7,2.9797229e-7,3.9930831e-7,976.6166666666667,35.5,gc,1011.4333333333333,-0.399,i2,7.8137337e-9,7.8137337e-9,-0.208,2.1664501e-9,2.1664501e-9,5.647283599999999e-9,976.6166666666667,35.316666666666606
swv,15,1014.1166666666667,-0.275,i1,7.0432208e-7,7.0432208e-7,-0.087,2.8121764e-7,2.8121764e-7,4.2310444000000004e-7,976.6166666666667,38,gc,1013.9333333333333,-0.399,i2,7.7162783e-9,7.7162783e-9,-0.196,1.9276052e-9,1.9276052e-9,5.788673100000001e-9,976.6166666666667,37.816666666666606
swv,16,1016.6166666666667,-0.284,i1,6.882766e-7,6.882766e-7,-0.096,2.8806133e-7,2.8806133e-7,4.0021526999999996e-7,976.6166666666667,40.5,gc,1016.4333333333333,-0.399,i2,7.2068769e-9,7.2068769e-9,-0.18,1.9617146e-9,1.9617146e-9,5.2451623000000004e-9,976.6166666666667,40.316666666666606
swv,17,1019.1166666666667,-0.281,i1,6.7783799e-7,6.7783799e-7,-0.139,2.8888584e-7,2.8888584e-7,3.8895214999999996e-7,976.6166666666667,43,gc,1018.9333333333333,-0.399,i2,7.12356e-9,7.12356e-9,-0.199,2.196805e-9,2.196805e-9,4.926755e-9,976.6166666666667,42.816666666666606
