May 18, 2017   12:49:06
Cyclic Voltammetry
File: d:\5-17-17_thioldna\q3_nodna\pcn\10um_pcn\10um_pcn_1.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A, Time/s

0.200, 1.1584112e-8, 1.0000001e-2
0.199, 9.2064711e-9, 2.0000001e-2
0.198, 1.2236794e-8, 3.0000001e-2
0.197, 1.2390553e-8, 4.0000003e-2
0.196, 1.0165610e-8, 5.0000004e-2
0.195, 1.4473434e-8, 6.0000006e-2
0.194, 9.6924202e-9, 7.0000008e-2
0.193, 1.3191465e-8, 8.0000006e-2
0.192, 1.2548990e-8, 9.0000004e-2
0.191, 1.1197904e-8, 1.0000000e-1
0.190, 1.4588700e-8, 1.1000000e-1
0.189, 1.0497372e-8, 1.2000000e-1
0.188, 1.3374572e-8, 1.3000000e-1
0.187, 1.3282912e-8, 1.4000000e-1
0.186, 1.0987362e-8, 1.5000001e-1
0.185, 1.5425979e-8, 1.6000001e-1
0.184, 1.0388273e-8, 1.7000002e-1
0.183, 1.3921770e-8, 1.8000002e-1
0.182, 1.3336930e-8, 1.9000003e-1
0.181, 1.1642808e-8, 2.0000003e-1
0.180, 1.5205016e-8, 2.1000004e-1
0.179, 1.1076683e-8, 2.2000004e-1
0.178, 1.3782684e-8, 2.3000005e-1
0.177, 1.3775453e-8, 2.4000005e-1
0.176, 1.1462678e-8, 2.5000006e-1
0.175, 1.5748810e-8, 2.6000005e-1
0.174, 1.0975878e-8, 2.7000004e-1
0.173, 1.4315634e-8, 2.8000003e-1
0.172, 1.3832236e-8, 2.9000002e-1
0.171, 1.1993075e-8, 3.0000001e-1
0.170, 1.5479147e-8, 3.1000000e-1
0.169, 1.1488411e-8, 3.1999999e-1
0.168, 1.4069787e-8, 3.2999998e-1
0.167, 1.4107430e-8, 3.3999997e-1
0.166, 1.1967553e-8, 3.4999996e-1
0.165, 1.6098438e-8, 3.5999995e-1
0.164, 1.1446728e-8, 3.6999995e-1
0.163, 1.4709070e-8, 3.7999994e-1
0.162, 1.3962389e-8, 3.8999993e-1
0.161, 1.2320159e-8, 3.9999992e-1
0.160, 1.5743067e-8, 4.0999991e-1
0.159, 1.1798057e-8, 4.1999990e-1
0.158, 1.4366035e-8, 4.2999989e-1
0.157, 1.4433451e-8, 4.3999988e-1
0.156, 1.2274223e-8, 4.4999987e-1
0.155, 1.5943403e-8, 4.5999986e-1
0.154, 1.1354429e-8, 4.6999985e-1
0.153, 1.5072947e-8, 4.7999984e-1
0.152, 1.4098072e-8, 4.8999983e-1
0.151, 1.2632783e-8, 4.9999982e-1
0.150, 1.6141184e-8, 5.0999981e-1
0.149, 1.1964576e-8, 5.1999980e-1
0.148, 1.4676107e-8, 5.2999979e-1
0.147, 1.4542126e-8, 5.3999978e-1
0.146, 1.2415435e-8, 5.4999977e-1
0.145, 1.6444876e-8, 5.5999976e-1
0.144, 1.1615374e-8, 5.6999975e-1
0.143, 1.5179708e-8, 5.7999974e-1
0.142, 1.4356040e-8, 5.8999974e-1
0.141, 1.2647244e-8, 5.9999973e-1
0.140, 1.6411487e-8, 6.0999972e-1
0.139, 1.2093667e-8, 6.1999971e-1
0.138, 1.4916637e-8, 6.2999970e-1
0.137, 1.4793714e-8, 6.3999969e-1
0.136, 1.2685737e-8, 6.4999968e-1
0.135, 1.6678811e-8, 6.5999967e-1
0.134, 1.1956071e-8, 6.6999966e-1
0.133, 1.5230111e-8, 6.7999965e-1
0.132, 1.4536384e-8, 6.8999964e-1
0.131, 1.2914357e-8, 6.9999963e-1
0.130, 1.6390006e-8, 7.0999962e-1
0.129, 1.2285069e-8, 7.1999961e-1
0.128, 1.4944495e-8, 7.2999960e-1
0.127, 1.5145680e-8, 7.3999959e-1
0.126, 1.2715085e-8, 7.4999958e-1
0.125, 1.6504849e-8, 7.5999957e-1
0.124, 1.2135137e-8, 7.6999956e-1
0.123, 1.5312626e-8, 7.7999955e-1
0.122, 1.4635913e-8, 7.8999954e-1
0.121, 1.3242079e-8, 7.9999954e-1
0.120, 1.6518673e-8, 8.0999953e-1
0.119, 1.2373114e-8, 8.1999952e-1
0.118, 1.5200762e-8, 8.2999951e-1
0.117, 1.5297740e-8, 8.3999950e-1
0.116, 1.2757408e-8, 8.4999949e-1
0.115, 1.6942096e-8, 8.5999948e-1
0.114, 1.2117059e-8, 8.6999947e-1
0.113, 1.5653747e-8, 8.7999946e-1
0.112, 1.4632935e-8, 8.8999945e-1
0.111, 1.3359047e-8, 8.9999944e-1
0.110, 1.6604378e-8, 9.0999943e-1
0.109, 1.2448823e-8, 9.1999942e-1
0.108, 1.5499349e-8, 9.2999941e-1
0.107, 1.5090388e-8, 9.3999940e-1
0.106, 1.2922226e-8, 9.4999939e-1
0.105, 1.7178584e-8, 9.5999938e-1
0.104, 1.2085373e-8, 9.6999937e-1
0.103, 1.5803678e-8, 9.7999936e-1
0.102, 1.4978522e-8, 9.8999935e-1
0.101, 1.3344799e-8, 9.9999934e-1
0.100, 1.6603527e-8, 1.0099994e+0
0.099, 1.2571535e-8, 1.0199994e+0
0.098, 1.5412155e-8, 1.0299994e+0
0.097, 1.5316028e-8, 1.0399994e+0
0.096, 1.3001338e-8, 1.0499994e+0
0.095, 1.6990798e-8, 1.0599993e+0
0.094, 1.2212336e-8, 1.0699993e+0
0.093, 1.5760721e-8, 1.0799993e+0
0.092, 1.5068055e-8, 1.0899993e+0
0.091, 1.3366278e-8, 1.0999993e+0
0.090, 1.6495065e-8, 1.1099993e+0
0.089, 1.2716787e-8, 1.1199993e+0
0.088, 1.5344739e-8, 1.1299993e+0
0.087, 1.5111866e-8, 1.1399993e+0
0.086, 1.3092786e-8, 1.1499993e+0
0.085, 1.7146682e-8, 1.1599993e+0
0.084, 1.2252955e-8, 1.1699992e+0
0.083, 1.5794321e-8, 1.1799992e+0
0.082, 1.4889626e-8, 1.1899992e+0
0.081, 1.3366704e-8, 1.1999992e+0
0.080, 1.6618413e-8, 1.2099992e+0
0.079, 1.2604498e-8, 1.2199992e+0
0.078, 1.5400033e-8, 1.2299992e+0
0.077, 1.5253503e-8, 1.2399992e+0
0.076, 1.3132981e-8, 1.2499992e+0
0.075, 1.7076291e-8, 1.2599992e+0
0.074, 1.2150662e-8, 1.2699991e+0
0.073, 1.5817502e-8, 1.2799991e+0
0.072, 1.4884523e-8, 1.2899991e+0
0.071, 1.3400730e-8, 1.2999991e+0
0.070, 1.6780040e-8, 1.3099991e+0
0.069, 1.2509434e-8, 1.3199991e+0
0.068, 1.5263499e-8, 1.3299991e+0
0.067, 1.5272857e-8, 1.3399991e+0
0.066, 1.2979434e-8, 1.3499991e+0
0.065, 1.6714752e-8, 1.3599991e+0
0.064, 1.2135776e-8, 1.3699991e+0
0.063, 1.5785176e-8, 1.3799990e+0
0.062, 1.4740758e-8, 1.3899990e+0
0.061, 1.3171686e-8, 1.3999990e+0
0.060, 1.6628197e-8, 1.4099990e+0
0.059, 1.2376942e-8, 1.4199990e+0
0.058, 1.5333892e-8, 1.4299990e+0
0.057, 1.5263286e-8, 1.4399990e+0
0.056, 1.2861614e-8, 1.4499990e+0
0.055, 1.6860643e-8, 1.4599990e+0
0.054, 1.2167463e-8, 1.4699990e+0
0.053, 1.5645027e-8, 1.4799989e+0
0.052, 1.4813279e-8, 1.4899989e+0
0.051, 1.3209966e-8, 1.4999989e+0
0.050, 1.6586938e-8, 1.5099989e+0
0.049, 1.2343553e-8, 1.5199989e+0
0.048, 1.5235639e-8, 1.5299989e+0
0.047, 1.4945559e-8, 1.5399989e+0
0.046, 1.2954125e-8, 1.5499989e+0
0.045, 1.6651590e-8, 1.5599989e+0
0.044, 1.2290599e-8, 1.5699989e+0
0.043, 1.5549539e-8, 1.5799989e+0
0.042, 1.4658029e-8, 1.5899988e+0
0.041, 1.3121284e-8, 1.5999988e+0
0.040, 1.6397875e-8, 1.6099988e+0
0.039, 1.2305485e-8, 1.6199988e+0
0.038, 1.5404499e-8, 1.6299988e+0
0.037, 1.4709497e-8, 1.6399988e+0
0.036, 1.2738053e-8, 1.6499988e+0
0.035, 1.6652866e-8, 1.6599988e+0
0.034, 1.2054747e-8, 1.6699988e+0
0.033, 1.5556981e-8, 1.6799988e+0
0.032, 1.4320311e-8, 1.6899987e+0
0.031, 1.3205075e-8, 1.6999987e+0
0.030, 1.6287499e-8, 1.7099987e+0
0.029, 1.2016255e-8, 1.7199987e+0
0.028, 1.5230961e-8, 1.7299987e+0
0.027, 1.4770745e-8, 1.7399987e+0
0.026, 1.2684248e-8, 1.7499987e+0
0.025, 1.6686041e-8, 1.7599987e+0
0.024, 1.1832297e-8, 1.7699987e+0
0.023, 1.5441078e-8, 1.7799987e+0
0.022, 1.4452167e-8, 1.7899987e+0
0.021, 1.2937750e-8, 1.7999986e+0
0.020, 1.6243053e-8, 1.8099986e+0
0.019, 1.2080906e-8, 1.8199986e+0
0.018, 1.5073372e-8, 1.8299986e+0
0.017, 1.4775636e-8, 1.8399986e+0
0.016, 1.2403312e-8, 1.8499986e+0
0.015, 1.6642657e-8, 1.8599986e+0
0.014, 1.1680238e-8, 1.8699986e+0
0.013, 1.5275409e-8, 1.8799986e+0
0.012, 1.4454507e-8, 1.8899986e+0
0.011, 1.2839072e-8, 1.8999985e+0
0.010, 1.6032510e-8, 1.9099985e+0
0.009, 1.2207657e-8, 1.9199985e+0
0.008, 1.4926206e-8, 1.9299985e+0
0.007, 1.4587637e-8, 1.9399985e+0
0.006, 1.2678932e-8, 1.9499985e+0
0.005, 1.6546531e-8, 1.9599985e+0
0.004, 1.1770196e-8, 1.9699985e+0
0.003, 1.5342399e-8, 1.9799985e+0
0.002, 1.4398148e-8, 1.9899985e+0
0.001, 1.2807598e-8, 1.9999985e+0
-0.000, 1.5893637e-8, 2.0099986e+0
-0.001, 1.2173417e-8, 2.0199986e+0
-0.002, 1.5102934e-8, 2.0299985e+0
-0.003, 1.4578067e-8, 2.0399985e+0
-0.004, 1.2578552e-8, 2.0499985e+0
-0.005, 1.6308341e-8, 2.0599985e+0
-0.006, 1.1585812e-8, 2.0699985e+0
-0.007, 1.5368132e-8, 2.0799985e+0
-0.008, 1.4048095e-8, 2.0899985e+0
-0.009, 1.2803556e-8, 2.0999985e+0
-0.010, 1.6124384e-8, 2.1099985e+0
-0.011, 1.1938418e-8, 2.1199985e+0
-0.012, 1.4861767e-8, 2.1299984e+0
-0.013, 1.4655903e-8, 2.1399984e+0
-0.014, 1.2555159e-8, 2.1499984e+0
