May 18, 2017   14:58:41
Cyclic Voltammetry
File: d:\5-17-17_thioldna\q1_wmdna\pcn\10um_pcn\10um_pcn_1.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A, Time/s

0.200, 1.4150633e-8, 1.0000001e-2
0.199, 9.4699999e-9, 2.0000001e-2
0.198, 1.4619994e-8, 3.0000001e-2
0.197, 1.3165124e-8, 4.0000003e-2
0.196, 1.0876593e-8, 5.0000004e-2
0.195, 1.6071674e-8, 6.0000006e-2
0.194, 9.5948369e-9, 7.0000008e-2
0.193, 1.4877536e-8, 8.0000006e-2
0.192, 1.2846121e-8, 9.0000004e-2
0.191, 1.1489718e-8, 1.0000000e-1
0.190, 1.5845817e-8, 1.1000000e-1
0.189, 9.8102708e-9, 1.2000000e-1
0.188, 1.4875834e-8, 1.3000000e-1
0.187, 1.3356527e-8, 1.4000000e-1
0.186, 1.1087774e-8, 1.5000001e-1
0.185, 1.6427043e-8, 1.6000001e-1
0.184, 9.6397104e-9, 1.7000002e-1
0.183, 1.5121255e-8, 1.8000002e-1
0.182, 1.3068361e-8, 1.9000003e-1
0.181, 1.1503329e-8, 2.0000003e-1
0.180, 1.6180985e-8, 2.1000004e-1
0.179, 1.0001034e-8, 2.2000004e-1
0.178, 1.4783961e-8, 2.3000005e-1
0.177, 1.3412671e-8, 2.4000005e-1
0.176, 1.1025886e-8, 2.5000006e-1
0.175, 1.6582929e-8, 2.6000005e-1
0.174, 9.7258406e-9, 2.7000004e-1
0.173, 1.5212276e-8, 2.8000003e-1
0.172, 1.3292938e-8, 2.9000002e-1
0.171, 1.1742369e-8, 3.0000001e-1
0.170, 1.6085709e-8, 3.1000000e-1
0.169, 1.0226676e-8, 3.1999999e-1
0.168, 1.4786089e-8, 3.2999998e-1
0.167, 1.3367373e-8, 3.3999997e-1
