Mar. 31, 2017   18:30:22
Cyclic Voltammetry
File: d:\phz electrochem\03-31-17_goldmulti\q1_pcn\1um_pcn\1um_pcn_1.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Potential/V, Current/A, Time/s

0.200, 9.409530932e-9, 1.000000071e-2
0.199, 1.387451576e-8, 2.000000142e-2
0.198, 1.171592690e-8, 3.000000119e-2
0.197, 1.349320122e-8, 4.000000283e-2
0.196, 1.370502112e-8, 5.000000447e-2
0.195, 1.208171785e-8, 6.000000611e-2
0.194, 1.437896824e-8, 7.000000775e-2
0.193, 1.261487892e-8, 8.000000566e-2
0.192, 1.368864488e-8, 9.000000358e-2
0.191, 1.433920005e-8, 1.000000015e-1
0.190, 1.219443213e-8, 1.099999994e-1
0.189, 1.493531165e-8, 1.199999973e-1
0.188, 1.275056061e-8, 1.299999952e-1
0.187, 1.425434348e-8, 1.400000006e-1
0.186, 1.416949047e-8, 1.500000060e-1
0.185, 1.301214425e-8, 1.600000113e-1
0.184, 1.488022860e-8, 1.700000167e-1
0.183, 1.297280239e-8, 1.800000221e-1
0.182, 1.410483730e-8, 1.900000274e-1
0.181, 1.478048883e-8, 2.000000328e-1
0.180, 1.269696970e-8, 2.100000381e-1
0.179, 1.530684202e-8, 2.200000435e-1
0.178, 1.280670503e-8, 2.300000489e-1
0.177, 1.449636233e-8, 2.400000542e-1
0.176, 1.433452113e-8, 2.500000596e-1
0.175, 1.325182364e-8, 2.600000501e-1
0.174, 1.513883419e-8, 2.700000405e-1
0.173, 1.315888465e-8, 2.800000310e-1
0.172, 1.440555142e-8, 2.900000215e-1
0.171, 1.495551416e-8, 3.000000119e-1
0.170, 1.275906847e-8, 3.100000024e-1
0.169, 1.573579667e-8, 3.199999928e-1
0.168, 1.309466047e-8, 3.299999833e-1
0.167, 1.466883770e-8, 3.399999738e-1
0.166, 1.490893986e-8, 3.499999642e-1
0.165, 1.326692090e-8, 3.599999547e-1
0.164, 1.530981919e-8, 3.699999452e-1
0.163, 1.338006239e-8, 3.799999356e-1
0.162, 1.435663677e-8, 3.899999261e-1
0.161, 1.518689707e-8, 3.999999166e-1
0.160, 1.299704611e-8, 4.099999070e-1
0.159, 1.580746734e-8, 4.199998975e-1
0.158, 1.326607180e-8, 4.299998879e-1
0.157, 1.474901179e-8, 4.399998784e-1
0.156, 1.511246239e-8, 4.499998689e-1
0.155, 1.334964939e-8, 4.599998593e-1
0.154, 1.541062566e-8, 4.699998498e-1
0.153, 1.372628855e-8, 4.799998403e-1
