Oct. 26, 2017   11:48:47
Cyclic Voltammetry
File: z:\users\scottsaunders\downloads\ph 7 blank\dna-sam\11- ph 7 phos.txt
Data Source:  Experiment
Instrument Model:  CHI620C
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.5
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Potential/V, Current/A, Time/s

0.000, 3.7917360e-7, 1.0000001e-2
-0.001, 6.3947454e-7, 2.0000001e-2
-0.002, 6.4006940e-7, 3.0000001e-2
-0.003, 6.7119669e-7, 4.0000003e-2
-0.004, 6.7129417e-7, 5.0000004e-2
-0.005, 6.4692472e-7, 6.0000006e-2
-0.006, 6.8296691e-7, 7.0000008e-2
-0.007, 6.5886087e-7, 8.0000006e-2
-0.008, 6.8060700e-7, 9.0000004e-2
-0.009, 6.7801312e-7, 1.0000000e-1
-0.010, 6.5500893e-7, 1.1000000e-1
-0.011, 6.8407860e-7, 1.2000000e-1
-0.012, 6.5217120e-7, 1.3000000e-1
-0.013, 6.8985156e-7, 1.4000000e-1
-0.014, 6.8210875e-7, 1.5000001e-1
-0.015, 6.5545743e-7, 1.6000001e-1
-0.016, 6.9843304e-7, 1.7000002e-1
-0.017, 6.5893880e-7, 1.8000002e-1
-0.018, 6.8814506e-7, 1.9000003e-1
-0.019, 6.8247937e-7, 2.0000003e-1
-0.020, 6.6651586e-7, 2.1000004e-1
-0.021, 7.0752156e-7, 2.2000004e-1
-0.022, 6.6394142e-7, 2.3000005e-1
-0.023, 6.9807220e-7, 2.4000005e-1
-0.024, 6.8799881e-7, 2.5000006e-1
-0.025, 6.7086506e-7, 2.6000005e-1
-0.026, 7.1202686e-7, 2.7000004e-1
-0.027, 6.7497058e-7, 2.8000003e-1
-0.028, 6.9894992e-7, 2.9000002e-1
-0.029, 6.8665310e-7, 3.0000001e-1
-0.030, 6.6725704e-7, 3.1000000e-1
-0.031, 7.1081763e-7, 3.1999999e-1
-0.032, 6.7206457e-7, 3.2999998e-1
-0.033, 7.0069541e-7, 3.3999997e-1
-0.034, 6.9702878e-7, 3.4999996e-1
-0.035, 6.8206003e-7, 3.5999995e-1
-0.036, 7.1550824e-7, 3.6999995e-1
-0.037, 6.7857866e-7, 3.7999994e-1
-0.038, 7.0010054e-7, 3.8999993e-1
-0.039, 6.9741890e-7, 3.9999992e-1
-0.040, 6.8761847e-7, 4.0999991e-1
-0.041, 7.1523516e-7, 4.1999990e-1
-0.042, 6.8292786e-7, 4.2999989e-1
-0.043, 7.0651714e-7, 4.3999988e-1
-0.044, 7.0423533e-7, 4.4999987e-1
-0.045, 6.9829656e-7, 4.5999986e-1
-0.046, 7.1194887e-7, 4.6999985e-1
-0.047, 6.9027095e-7, 4.7999984e-1
-0.048, 7.1177334e-7, 4.8999983e-1
-0.049, 7.0862353e-7, 4.9999982e-1
-0.050, 6.9101208e-7, 5.0999981e-1
-0.051, 7.2800009e-7, 5.1999980e-1
-0.052, 6.8912993e-7, 5.2999979e-1
-0.053, 7.1312883e-7, 5.3999978e-1
-0.054, 7.0729732e-7, 5.4999977e-1
-0.055, 6.9659001e-7, 5.5999976e-1
-0.056, 7.3206644e-7, 5.6999975e-1
-0.057, 7.0180710e-7, 5.7999974e-1
-0.058, 7.2250992e-7, 5.8999974e-1
-0.059, 7.1714646e-7, 5.9999973e-1
-0.060, 7.0280180e-7, 6.0999972e-1
-0.061, 7.2953105e-7, 6.1999971e-1
-0.062, 6.9805270e-7, 6.2999970e-1
-0.063, 7.3014542e-7, 6.3999969e-1
