Feb. 3, 2006   02:50:41
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_soak_3_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
2nd E (V) = 0
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A, Time/s

0.000, -8.3579835e-8, -8.3623227e-8, 3.3333334e-1
-0.001, -6.8837750e-8, -7.6030517e-8, 6.6666669e-1
-0.002, -6.0270487e-8, -6.8218135e-8, 1.0000000e+0
-0.003, -5.6032793e-8, -6.1036808e-8, 1.3333334e+0
-0.004, -5.1040214e-8, -5.6160058e-8, 1.6666667e+0
-0.005, -4.5752078e-8, -5.3228419e-8, 2.0000000e+0
-0.006, -4.1574289e-8, -5.0843962e-8, 2.3333333e+0
-0.007, -3.8219277e-8, -4.8131998e-8, 2.6666665e+0
-0.008, -3.5391480e-8, -4.5020620e-8, 2.9999998e+0
-0.009, -3.4173290e-8, -4.1609695e-8, 3.3333330e+0
-0.010, -3.2507767e-8, -3.8853791e-8, 3.6666663e+0
-0.011, -3.1293574e-8, -3.7108386e-8, 3.9999995e+0
-0.012, -3.0015475e-8, -3.5478806e-8, 4.3333330e+0
-0.013, -2.8633526e-8, -3.4360472e-8, 4.6666665e+0
-0.014, -2.6975991e-8, -3.3517722e-8, 5.0000000e+0
-0.015, -2.5813719e-8, -3.2555157e-8, 5.3333335e+0
-0.016, -2.4299970e-8, -3.2099830e-8, 5.6666670e+0
-0.017, -2.2446727e-8, -3.1336967e-8, 6.0000005e+0
-0.018, -2.0849102e-8, -3.0817738e-8, 6.3333340e+0
-0.019, -1.9559019e-8, -3.0066854e-8, 6.6666675e+0
-0.020, -1.8752218e-8, -2.9543633e-8, 7.0000010e+0
-0.021, -1.6994830e-8, -2.9331945e-8, 7.3333344e+0
-0.022, -1.6211995e-8, -2.8684909e-8, 7.6666679e+0
-0.023, -1.5089665e-8, -2.8537130e-8, 8.0000010e+0
-0.024, -1.4374726e-8, -2.7798228e-8, 8.3333340e+0
-0.025, -1.3735677e-8, -2.7418791e-8, 8.6666670e+0
-0.026, -1.3196479e-8, -2.7155185e-8, 9.0000000e+0
-0.027, -1.2565416e-8, -2.6691872e-8, 9.3333330e+0
-0.028, -1.2098112e-8, -2.6500157e-8, 9.6666660e+0
-0.029, -1.1810539e-8, -2.6300453e-8, 9.9999990e+0
-0.030, -1.1562907e-8, -2.6068799e-8, 1.0333332e+1
-0.031, -1.1203443e-8, -2.5673387e-8, 1.0666665e+1
-0.032, -1.0732142e-8, -2.5341878e-8, 1.0999998e+1
-0.033, -1.0276819e-8, -2.5234041e-8, 1.1333331e+1
-0.034, -9.9013766e-9, -2.4730788e-8, 1.1666664e+1
-0.035, -9.7655795e-9, -2.4575019e-8, 1.1999997e+1
-0.036, -9.5179473e-9, -2.4503127e-8, 1.2333330e+1
-0.037, -9.0027141e-9, -2.4674870e-8, 1.2666663e+1
-0.038, -9.1584820e-9, -2.4491143e-8, 1.2999996e+1
-0.039, -8.9547854e-9, -2.3848100e-8, 1.3333329e+1
-0.040, -8.5074499e-9, -2.3756236e-8, 1.3666662e+1
-0.041, -8.2078948e-9, -2.3860080e-8, 1.3999995e+1
-0.042, -8.1240197e-9, -2.3456680e-8, 1.4333328e+1
-0.043, -7.7126314e-9, -2.3472658e-8, 1.4666661e+1
-0.044, -7.8244655e-9, -2.3296920e-8, 1.4999994e+1
-0.045, -7.4929583e-9, -2.3049289e-8, 1.5333327e+1
-0.046, -7.4170714e-9, -2.2981387e-8, 1.5666660e+1
-0.047, -7.0576052e-9, -2.2917483e-8, 1.5999993e+1
-0.048, -6.9218067e-9, -2.2573994e-8, 1.6333326e+1
-0.049, -6.7500627e-9, -2.2530060e-8, 1.6666660e+1
-0.050, -6.6901520e-9, -2.2633904e-8, 1.6999994e+1
-0.051, -6.4225492e-9, -2.2406244e-8, 1.7333328e+1
-0.052, -6.3985852e-9, -2.2222515e-8, 1.7666662e+1
-0.053, -6.1110126e-9, -2.2306393e-8, 1.7999996e+1
-0.054, -5.8633809e-9, -2.1970891e-8, 1.8333330e+1
-0.055, -5.7315765e-9, -2.1954914e-8, 1.8666664e+1
-0.056, -5.6596843e-9, -2.1615419e-8, 1.8999998e+1
-0.057, -5.6796541e-9, -2.1623407e-8, 1.9333332e+1
-0.058, -5.6477019e-9, -2.1423704e-8, 1.9666666e+1
-0.059, -5.1843911e-9, -2.1192049e-8, 2.0000000e+1
-0.060, -5.1444502e-9, -2.1343823e-8, 2.0333334e+1
-0.061, -5.0006630e-9, -2.1212019e-8, 2.0666668e+1
-0.062, -5.2762541e-9, -2.1120156e-8, 2.1000002e+1
-0.063, -4.8488888e-9, -2.1331841e-8, 2.1333336e+1
-0.064, -4.8129420e-9, -2.1036280e-8, 2.1666670e+1
-0.065, -4.8169366e-9, -2.0820600e-8, 2.2000004e+1
-0.066, -4.2937147e-9, -2.0904475e-8, 2.2333338e+1
-0.067, -4.2897206e-9, -2.0884505e-8, 2.2666672e+1
-0.068, -3.9262615e-9, -2.1283912e-8, 2.3000006e+1
-0.069, -3.7225638e-9, -2.1220007e-8, 2.3333340e+1
-0.070, -3.9542196e-9, -2.0840570e-8, 2.3666674e+1
-0.071, -4.1139825e-9, -2.0493086e-8, 2.4000008e+1
-0.072, -3.7505221e-9, -2.0501075e-8, 2.4333342e+1
-0.073, -3.6466761e-9, -2.0732733e-8, 2.4666676e+1
-0.074, -3.6227119e-9, -2.0604922e-8, 2.5000010e+1
-0.075, -3.3950502e-9, -2.0732733e-8, 2.5333344e+1
-0.076, -2.4764168e-9, -2.0708768e-8, 2.5666677e+1
-0.077, -3.0116212e-9, -2.0700778e-8, 2.6000011e+1
-0.078, -2.9596976e-9, -2.0325338e-8, 2.6333345e+1
-0.079, -2.1009752e-9, -2.0237469e-8, 2.6666679e+1
-0.080, -2.4724227e-9, -2.0604922e-8, 2.7000013e+1
-0.081, -2.4204991e-9, -2.0033770e-8, 2.7333347e+1
-0.082, -2.0490516e-9, -2.0005812e-8, 2.7666681e+1
-0.083, -2.5682803e-9, -2.0169569e-8, 2.8000015e+1
-0.084, -2.0091118e-9, -1.9889985e-8, 2.8333349e+1
-0.085, -1.6296759e-9, -2.0269420e-8, 2.8666683e+1
-0.086, -1.5617767e-9, -2.0157588e-8, 2.9000017e+1
-0.087, -1.7734616e-9, -1.9842055e-8, 2.9333351e+1
-0.088, -1.0305666e-9, -2.0257438e-8, 2.9666685e+1
-0.089, -1.3740559e-9, -2.0257438e-8, 3.0000019e+1
-0.090, -8.7479823e-10, -1.9913948e-8, 3.0333353e+1
-0.091, -1.0824890e-9, -1.9666317e-8, 3.0666687e+1
-0.092, -8.5083302e-10, -1.9846050e-8, 3.1000021e+1
-0.093, -7.9092216e-10, -1.9594424e-8, 3.1333355e+1
-0.094, -5.7923721e-10, -1.9786139e-8, 3.1666689e+1
-0.095, -4.3944454e-10, -1.9722233e-8, 3.2000023e+1
