July 12, 2006   23:38:56
Cyclic Voltammetry
File: f:\07_02_19_wt\ida_2\tran_1\gc_9.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A

0.000, -6.6237369e-8, -4.2316916e-8
-0.001, -5.8386725e-8, -3.7815767e-8
-0.002, -5.2201838e-8, -3.4104087e-8
-0.003, -4.7277396e-8, -3.1058374e-8
-0.004, -4.3076845e-8, -2.8421656e-8
-0.005, -3.9505192e-8, -2.6167566e-8
-0.006, -3.6428489e-8, -2.4263118e-8
-0.007, -3.3656846e-8, -2.2665413e-8
-0.008, -3.1250586e-8, -2.1216607e-8
-0.009, -2.9164250e-8, -1.9957039e-8
-0.010, -2.7267948e-8, -1.8843975e-8
-0.011, -2.5605059e-8, -1.7846418e-8
-0.012, -2.4066546e-8, -1.6976752e-8
-0.013, -2.2636673e-8, -1.6173466e-8
-0.014, -2.1354580e-8, -1.5455653e-8
-0.015, -2.0170978e-8, -1.4790161e-8
-0.016, -1.9038742e-8, -1.4198401e-8
-0.017, -1.8040469e-8, -1.3682209e-8
-0.018, -1.7072626e-8, -1.3182791e-8
-0.019, -1.6195131e-8, -1.2727068e-8
-0.020, -1.5301421e-8, -1.2246503e-8
-0.021, -1.4526731e-8, -1.1830561e-8
-0.022, -1.3741020e-8, -1.1495939e-8
-0.023, -1.3088229e-8, -1.1198302e-8
-0.024, -1.2369538e-8, -1.0833644e-8
-0.025, -1.1711956e-8, -1.0589287e-8
-0.026, -1.1125148e-8, -1.0260895e-8
-0.027, -1.0565021e-8, -9.9928936e-9
-0.028, -9.9143884e-9, -9.7647535e-9
-0.029, -9.4098587e-9, -9.5200772e-9
-0.030, -8.8952632e-9, -9.2889803e-9
-0.031, -8.4087874e-9, -9.1508658e-9
-0.032, -7.9144016e-9, -8.8737577e-9
-0.033, -7.5013356e-9, -8.7710310e-9
-0.034, -7.0602320e-9, -8.5396943e-9
-0.035, -6.6745653e-9, -8.3532523e-9
-0.036, -6.2765175e-9, -8.2571541e-9
-0.037, -5.8509100e-9, -8.0329281e-9
-0.038, -5.4728324e-9, -7.8696507e-9
-0.039, -5.1913305e-9, -7.7952809e-9
-0.040, -4.8015902e-9, -7.6689890e-9
-0.041, -4.4769526e-9, -7.4612183e-9
-0.042, -4.1871435e-9, -7.3457898e-9
-0.043, -3.8491659e-9, -7.2961837e-9
-0.044, -3.5194965e-9, -7.1969710e-9
-0.045, -3.2911958e-9, -7.0065345e-9
-0.046, -2.9546559e-9, -6.9229782e-9
-0.047, -2.7399352e-9, -6.8788837e-9
-0.048, -2.3978040e-9, -6.7963661e-9
-0.049, -2.2060891e-9, -6.6664794e-9
-0.050, -1.8796942e-9, -6.5262875e-9
-0.051, -1.6656123e-9, -6.4206049e-9
-0.052, -1.3989689e-9, -6.3535048e-9
-0.053, -1.2100498e-9, -6.3142034e-9
-0.054, -9.2934715e-10, -6.2433485e-9
-0.055, -7.9818213e-10, -6.1171366e-9
-0.056, -5.3177823e-10, -5.9965157e-9
-0.057, -3.8663406e-10, -5.9320513e-9
-0.058, -1.6328611e-10, -5.8818861e-9
-0.059, 3.5698045e-11, -5.8418657e-9
-0.060, 1.7117661e-10, -5.8043215e-9
-0.061, 4.0554818e-10, -5.7380998e-9
-0.062, 5.7146149e-10, -5.6219527e-9
-0.063, 7.3945172e-10, -5.5245772e-9
-0.064, 9.4498609e-10, -5.4591549e-9
-0.065, 1.0478732e-9, -5.4140217e-9
-0.066, 1.2427833e-9, -5.3716049e-9
-0.067, 1.4000695e-9, -5.3452438e-9
-0.068, 1.5227671e-9, -5.3223981e-9
-0.069, 1.6435476e-9, -5.2850133e-9
-0.070, 1.7928455e-9, -5.2075286e-9
-0.071, 1.9660280e-9, -5.1198188e-9
-0.072, 2.0694741e-9, -5.0319495e-9
-0.073, 2.1628555e-9, -4.9825828e-9
-0.074, 2.3454640e-9, -4.9517488e-9
-0.075, 2.4917264e-9, -4.9283440e-9
-0.076, 2.5870248e-9, -4.9008646e-9
-0.077, 2.6816840e-9, -4.8725068e-9
-0.078, 2.8598193e-9, -4.8477440e-9
-0.079, 2.9960967e-9, -4.8296105e-9
-0.080, 3.0349989e-9, -4.7673829e-9
-0.081, 3.1283003e-9, -4.7247264e-9
-0.082, 3.2711278e-9, -4.6540318e-9
-0.083, 3.3853580e-9, -4.6047450e-9
-0.084, 3.4879253e-9, -4.5451536e-9
-0.085, 3.5683658e-9, -4.5057722e-9
-0.086, 3.6476080e-9, -4.4723816e-9
-0.087, 3.8015386e-9, -4.4446629e-9
-0.088, 3.9205621e-9, -4.4253317e-9
-0.089, 3.9807126e-9, -4.4019264e-9
-0.090, 4.0355115e-9, -4.3865893e-9
-0.091, 4.1153925e-9, -4.3699742e-9
-0.092, 4.2725188e-9, -4.3573527e-9
-0.093, 4.3750061e-9, -4.3412167e-9
-0.094, 4.4457811e-9, -4.3325894e-9
-0.095, 4.5178341e-9, -4.2899329e-9
-0.096, 4.5803015e-9, -4.2543853e-9
-0.097, 4.6448454e-9, -4.2179602e-9
-0.098, 4.8014925e-9, -4.1781791e-9
-0.099, 4.8839301e-9, -4.1222621e-9
-0.100, 4.9500715e-9, -4.0847978e-9
-0.101, 5.0050297e-9, -4.0529251e-9
-0.102, 5.0403375e-9, -4.0243280e-9
-0.103, 5.1670286e-9, -3.9954906e-9
-0.104, 5.2632059e-9, -3.9795944e-9
-0.105, 5.3291878e-9, -3.9586654e-9
-0.106, 5.4020393e-9, -3.9505972e-9
-0.107, 5.4420597e-9, -3.9287897e-9
-0.108, 5.5061249e-9, -3.9230383e-9
-0.109, 5.5621214e-9, -3.9052250e-9
-0.110, 5.5896008e-9, -3.9021097e-9
-0.111, 5.7202860e-9, -3.8885299e-9
-0.112, 5.7809162e-9, -3.8787045e-9
-0.113, 5.8467386e-9, -3.8671213e-9
-0.114, 5.9192704e-9, -3.8598524e-9
-0.115, 5.9505840e-9, -3.8552193e-9
-0.116, 5.9927610e-9, -3.8373260e-9
-0.117, 6.0541900e-9, -3.8251842e-9
-0.118, 6.0998819e-9, -3.8067314e-9
-0.119, 6.1569971e-9, -3.7891574e-9
-0.120, 6.2695498e-9, -3.7633558e-9
-0.121, 6.3152417e-9, -3.7290868e-9
-0.122, 6.3735546e-9, -3.7179035e-9
-0.123, 6.4170100e-9, -3.7106340e-9
-0.124, 6.4658976e-9, -3.6650218e-9
-0.125, 6.5031225e-9, -3.6485666e-9
-0.126, 6.5300427e-9, -3.6039129e-9
-0.127, 6.5933086e-9, -3.5995198e-9
-0.128, 6.6715122e-9, -3.5847412e-9
-0.129, 6.7172046e-9, -3.5655696e-9
-0.130, 6.8193726e-9, -3.5466381e-9
-0.131, 6.8710553e-9, -3.5336174e-9
-0.132, 6.8976558e-9, -3.5149250e-9
-0.133, 6.9263333e-9, -3.5027035e-9
-0.134, 6.9345609e-9, -3.4940761e-9
-0.135, 6.9507773e-9, -3.4876857e-9
-0.136, 6.9863244e-9, -3.4754641e-9
-0.137, 6.9824897e-9, -3.4667567e-9
-0.138, 7.0426407e-9, -3.4653191e-9
-0.139, 7.0922463e-9, -3.4561325e-9
-0.140, 7.1603052e-9, -3.4424730e-9
-0.141, 7.2031217e-9, -3.4416743e-9
-0.142, 7.2364323e-9, -3.4309700e-9
-0.143, 7.3000974e-9, -3.4277750e-9
-0.144, 7.3274973e-9, -3.4185883e-9
-0.145, 7.3442719e-9, -3.4162715e-9
-0.146, 7.3970727e-9, -3.4065266e-9
-0.147, 7.3882065e-9, -3.4082037e-9
-0.148, 7.4123307e-9, -3.4056473e-9
-0.149, 7.4539486e-9, -3.3959822e-9
-0.150, 7.4535498e-9, -3.3942249e-9
-0.151, 7.4999598e-9, -3.3923075e-9
-0.152, 7.5236848e-9, -3.3911092e-9
-0.153, 7.5430968e-9, -3.3879939e-9
-0.154, 7.5573947e-9, -3.3831213e-9
-0.155, 7.5867108e-9, -3.3760117e-9
-0.156, 7.6644362e-9, -3.3772898e-9
-0.157, 7.6804119e-9, -3.3784080e-9
-0.158, 7.7130835e-9, -3.3744139e-9
-0.159, 7.7685218e-9, -3.3728165e-9
-0.160, 7.8202849e-9, -3.3644292e-9
-0.161, 7.8253164e-9, -3.3678640e-9
-0.162, 7.8667748e-9, -3.3701006e-9
-0.163, 7.8700504e-9, -3.3673044e-9
-0.164, 7.8948927e-9, -3.3636303e-9
-0.165, 7.9255669e-9, -3.3677838e-9
-0.166, 7.9374702e-9, -3.3596359e-9
-0.167, 7.9477740e-9, -3.3572398e-9
-0.168, 7.9837204e-9, -3.3431802e-9
-0.169, 7.9977802e-9, -3.3446983e-9
-0.170, 8.0409963e-9, -3.3292014e-9
-0.171, 8.0377207e-9, -3.3355918e-9
-0.172, 8.0893239e-9, -3.3284024e-9
-0.173, 8.1727203e-9, -3.3026011e-9
-0.174, 8.1540277e-9, -3.3133849e-9
-0.175, 8.2547578e-9, -3.2922962e-9
-0.176, 8.3080387e-9, -3.2834295e-9
-0.177, 8.2871896e-9, -3.2716867e-9
-0.178, 8.3836067e-9, -3.2852669e-9
-0.179, 8.3924734e-9, -3.2838290e-9
-0.180, 8.4272216e-9, -3.2728054e-9
-0.181, 8.4625293e-9, -3.2551517e-9
-0.182, 8.4673220e-9, -3.2483616e-9
-0.183, 8.5107779e-9, -3.2619414e-9
-0.184, 8.5695708e-9, -3.2407728e-9
-0.185, 8.6144638e-9, -3.2675329e-9
-0.186, 8.6969001e-9, -3.2394947e-9
-0.187, 8.7945153e-9, -3.2127343e-9
-0.188, 8.8428438e-9, -3.2395746e-9
-0.189, 8.8572216e-9, -3.2116161e-9
-0.190, 8.8906926e-9, -3.2035481e-9
-0.191, 8.9141778e-9, -3.2208025e-9
-0.192, 8.9673788e-9, -3.2212817e-9
-0.193, 9.0165058e-9, -3.2163292e-9
-0.194, 9.1597325e-9, -3.2311072e-9
-0.195, 9.1889687e-9, -3.2359000e-9
-0.196, 9.2872234e-9, -3.2210421e-9
-0.197, 9.3570396e-9, -3.2591454e-9
-0.198, 9.3939443e-9, -3.2270331e-9
-0.199, 9.4428323e-9, -3.2354206e-9
-0.200, 9.5314210e-9, -3.2225602e-9
-0.201, 9.6060289e-9, -3.2461249e-9
-0.202, 9.7488568e-9, -3.2382965e-9
-0.203, 9.8262616e-9, -3.2499590e-9
-0.204, 9.8920037e-9, -3.2887015e-9
-0.205, 9.8984740e-9, -3.2760006e-9
-0.206, 9.9957695e-9, -3.3089913e-9
-0.207, 1.0216961e-8, -3.3084322e-9
-0.208, 1.0322563e-8, -3.3145831e-9
-0.209, 1.0396533e-8, -3.3379883e-9
-0.210, 1.0546471e-8, -3.3489320e-9
-0.211, 1.0728520e-8, -3.3515681e-9
-0.212, 1.0814792e-8, -3.3622722e-9
-0.213, 1.0895312e-8, -3.3706598e-9
-0.214, 1.1001634e-8, -3.3758518e-9
-0.215, 1.1175136e-8, -3.3805649e-9
-0.216, 1.1342168e-8, -3.3871950e-9
-0.217, 1.1457916e-8, -3.3933460e-9
-0.218, 1.1653545e-8, -3.4006951e-9
-0.219, 1.1816982e-8, -3.4125176e-9
-0.220, 1.1969715e-8, -3.4411949e-9
-0.221, 1.2202729e-8, -3.4661980e-9
-0.222, 1.2345636e-8, -3.4602863e-9
-0.223, 1.2566507e-8, -3.5323393e-9
-0.224, 1.2787939e-8, -3.5567032e-9
-0.225, 1.2932762e-8, -3.6123005e-9
-0.226, 1.3236071e-8, -3.6851517e-9
-0.227, 1.3364281e-8, -3.7683887e-9
-0.228, 1.3642669e-8, -3.8182342e-9
-0.229, 1.3846524e-8, -3.8561776e-9
-0.230, 1.4120437e-8, -3.8786245e-9
-0.231, 1.4341548e-8, -3.9128136e-9
-0.232, 1.4653565e-8, -3.9545918e-9
-0.233, 1.4852390e-8, -3.9937333e-9
-0.234, 1.5172153e-8, -4.0960613e-9
-0.235, 1.5351647e-8, -4.2348152e-9
-0.236, 1.5711112e-8, -4.3301132e-9
-0.237, 1.5966974e-8, -4.3664592e-9
-0.238, 1.6244080e-8, -4.4221360e-9
-0.239, 1.6536285e-8, -4.4960267e-9
-0.240, 1.6816987e-8, -4.6438866e-9
-0.241, 1.7127487e-8, -4.7893502e-9
-0.242, 1.7470978e-8, -4.8665161e-9
-0.243, 1.7725476e-8, -4.9372102e-9
-0.244, 1.8105473e-8, -5.0381805e-9
-0.245, 1.8350070e-8, -5.2332507e-9
-0.246, 1.8681337e-8, -5.3374158e-9
-0.247, 1.8974180e-8, -5.4078706e-9
-0.248, 1.9255761e-8, -5.5288112e-9
-0.249, 1.9637275e-8, -5.7608660e-9
-0.250, 1.9893134e-8, -5.8486553e-9
-0.251, 2.0204432e-8, -5.9407586e-9
-0.252, 2.0591456e-8, -6.1069114e-9
-0.253, 2.0793955e-8, -6.2997447e-9
-0.254, 2.1122268e-8, -6.3838601e-9
-0.255, 2.1411038e-8, -6.5485755e-9
-0.256, 2.1700927e-8, -6.7860619e-9
-0.257, 2.1988340e-8, -6.8855144e-9
-0.258, 2.2279266e-8, -6.9623596e-9
-0.259, 2.2569555e-8, -7.2042399e-9
-0.260, 2.2745773e-8, -7.3083251e-9
-0.261, 2.3103320e-8, -7.4077771e-9
-0.262, 2.3235446e-8, -7.5994926e-9
-0.263, 2.3560640e-8, -7.7857756e-9
-0.264, 2.3725356e-8, -7.8613427e-9
-0.265, 2.4008855e-8, -7.9993780e-9
-0.266, 2.4137384e-8, -8.2123410e-9
-0.267, 2.4414092e-8, -8.3039646e-9
-0.268, 2.4600377e-8, -8.4335321e-9
-0.269, 2.4771721e-8, -8.6218126e-9
-0.270, 2.4963276e-8, -8.7711900e-9
-0.271, 2.5119684e-8, -8.8515506e-9
-0.272, 2.5266027e-8, -8.9291152e-9
-0.273, 2.5482825e-8, -9.1841761e-9
-0.274, 2.5611991e-8, -9.2611820e-9
-0.275, 2.5714719e-8, -9.3268442e-9
-0.276, 2.5888381e-8, -9.4024122e-9
-0.277, 2.6040397e-8, -9.6483666e-9
-0.278, 2.6094794e-8, -9.7414281e-9
-0.279, 2.6256874e-8, -9.7780939e-9
-0.280, 2.6410323e-8, -9.8577351e-9
-0.281, 2.6496917e-8, -9.9562287e-9
-0.282, 2.6577675e-8, -1.0128692e-8
-0.283, 2.6646614e-8, -1.0225349e-8
-0.284, 2.6772028e-8, -1.0263452e-8
-0.285, 2.6907186e-8, -1.0324801e-8
-0.286, 2.6972769e-8, -1.0416744e-8
-0.287, 2.7039391e-8, -1.0543196e-8
-0.288, 2.7085402e-8, -1.0664056e-8
-0.289, 2.7135805e-8, -1.0741381e-8
-0.290, 2.7340144e-8, -1.0792186e-8
-0.291, 2.7369058e-8, -1.0825816e-8
-0.292, 2.7439835e-8, -1.0860804e-8
-0.293, 2.7499903e-8, -1.0929102e-8
-0.294, 2.7544639e-8, -1.1005069e-8
-0.295, 2.7569721e-8, -1.1111391e-8
-0.296, 2.7651280e-8, -1.1190154e-8
-0.297, 2.7719018e-8, -1.1214278e-8
-0.298, 2.7825102e-8, -1.1243116e-8
-0.299, 2.7877984e-8, -1.1286650e-8
-0.300, 2.8036869e-8, -1.1316287e-8
-0.301, 2.8083278e-8, -1.1364135e-8
-0.302, 2.8114748e-8, -1.1460552e-8
-0.303, 2.8169231e-8, -1.1536839e-8
-0.304, 2.8186562e-8, -1.1634055e-8
-0.305, 2.8232813e-8, -1.1681104e-8
-0.306, 2.8373487e-8, -1.1687415e-8
-0.307, 2.8467905e-8, -1.1716332e-8
-0.308, 2.8511680e-8, -1.1738219e-8
-0.309, 2.8605223e-8, -1.1764420e-8
-0.310, 2.8610895e-8, -1.1798050e-8
-0.311, 2.8663933e-8, -1.1817860e-8
-0.312, 2.8766262e-8, -1.1845819e-8
-0.313, 2.8842786e-8, -1.1888076e-8
-0.314, 2.8877617e-8, -1.1951902e-8
-0.315, 2.8929380e-8, -1.1976665e-8
-0.316, 2.8964211e-8, -1.2027149e-8
-0.317, 2.8995920e-8, -1.2105753e-8
-0.318, 2.9024680e-8, -1.2156717e-8
-0.319, 2.9097370e-8, -1.2176447e-8
-0.320, 2.9122454e-8, -1.2191625e-8
-0.321, 2.9146019e-8, -1.2208879e-8
-0.322, 2.9285410e-8, -1.2221022e-8
-0.323, 2.9320320e-8, -1.2243468e-8
-0.324, 2.9374478e-8, -1.2262159e-8
-0.325, 2.9442937e-8, -1.2276858e-8
-0.326, 2.9465703e-8, -1.2306094e-8
-0.327, 2.9495258e-8, -1.2344917e-8
-0.328, 2.9549255e-8, -1.2355701e-8
-0.329, 2.9611407e-8, -1.2409061e-8
-0.330, 2.9661807e-8, -1.2447485e-8
-0.331, 2.9716052e-8, -1.2495892e-8
-0.332, 2.9804237e-8, -1.2547974e-8
-0.333, 2.9884838e-8, -1.2591511e-8
-0.334, 2.9911600e-8, -1.2628495e-8
