July 12, 2006   23:41:37
Square Wave Voltammetry
File: f:\07_02_19_wt\ida_2\tran_1\swv_11.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 4.0021536e-7, 3.3811094e-7
0.098, 4.3200953e-7, 2.9043599e-7
0.097, 5.2129076e-7, 4.5278796e-7
0.096, 4.9291009e-7, 3.1471046e-7
0.095, 4.9106313e-7, 3.6842098e-7
0.094, 4.9457566e-7, 3.4993482e-7
0.093, 4.3905112e-7, 3.7114199e-7
0.092, 4.9022208e-7, 4.2511638e-7
0.091, 4.2940397e-7, 3.2795259e-7
0.090, 5.0320034e-7, 3.8552196e-7
0.089, 4.3065728e-7, 3.6886624e-7
0.088, 4.7462174e-7, 3.6889924e-7
0.087, 5.5527823e-7, 3.0714119e-7
0.086, 4.5905446e-7, 3.4650472e-7
0.085, 5.2333559e-7, 2.9518534e-7
0.084, 4.3032747e-7, 3.5234245e-7
0.083, 4.9995162e-7, 3.6487546e-7
0.082, 4.4474041e-7, 3.6194010e-7
0.081, 4.1634325e-7, 3.6616177e-7
0.080, 5.2343455e-7, 2.9922558e-7
0.079, 3.9083199e-7, 4.1604645e-7
0.078, 4.9706574e-7, 2.9813722e-7
0.077, 4.5590471e-7, 2.7679809e-7
0.076, 4.8733614e-7, 3.2641890e-7
0.075, 4.5757025e-7, 3.2208186e-7
0.074, 3.9716446e-7, 3.5000079e-7
0.073, 5.1889958e-7, 3.2864517e-7
0.072, 4.1758008e-7, 3.3829230e-7
0.071, 4.5475036e-7, 3.5099021e-7
0.070, 4.3235585e-7, 3.3578570e-7
0.069, 4.9213497e-7, 2.8214112e-7
0.068, 4.6261647e-7, 3.3962806e-7
0.067, 4.4251416e-7, 3.0420583e-7
0.066, 4.5136971e-7, 3.5084179e-7
0.065, 4.3149828e-7, 3.3685760e-7
0.064, 4.5422263e-7, 2.9830210e-7
0.063, 4.0742171e-7, 3.4104625e-7
0.062, 4.6126422e-7, 3.1889914e-7
0.061, 3.8977657e-7, 3.5630023e-7
0.060, 4.7328598e-7, 2.9394855e-7
0.059, 4.8669301e-7, 3.2646841e-7
0.058, 4.4820351e-7, 3.0963128e-7
0.057, 4.5661380e-7, 2.6429808e-7
0.056, 4.2577599e-7, 3.3957858e-7
0.055, 4.5473385e-7, 3.1220384e-7
0.054, 4.4917647e-7, 3.2721050e-7
0.053, 4.1157742e-7, 2.7594058e-7
0.052, 4.2547919e-7, 3.6225345e-7
0.051, 4.3669291e-7, 3.2876062e-7
0.050, 4.4790664e-7, 2.2783689e-7
0.049, 4.8728668e-7, 2.9505341e-7
0.048, 4.2856294e-7, 2.6332509e-7
0.047, 4.2714473e-7, 3.4144205e-7
0.046, 4.4709861e-7, 2.9206859e-7
0.045, 4.2907413e-7, 3.1967420e-7
0.044, 4.3200953e-7, 3.5153442e-7
0.043, 3.9190388e-7, 2.6715099e-7
0.042, 4.8139952e-7, 3.2163658e-7
0.041, 4.3138289e-7, 2.6799199e-7
0.040, 4.4083214e-7, 2.9680143e-7
0.039, 4.4594424e-7, 3.1245122e-7
0.038, 4.2206557e-7, 2.9719723e-7
0.037, 4.5468437e-7, 3.6782734e-7
0.036, 3.9520208e-7, 2.6090100e-7
0.035, 4.4818700e-7, 3.1426521e-7
0.034, 3.9584521e-7, 3.2039978e-7
0.033, 4.2750756e-7, 2.9182121e-7
0.032, 4.8715469e-7, 2.6487527e-7
0.031, 4.2399500e-7, 2.8491158e-7
0.030, 4.8860596e-7, 2.8743466e-7
0.029, 3.9450947e-7, 3.0348022e-7
0.028, 4.8885329e-7, 3.3346049e-7
0.027, 4.2973377e-7, 2.9177176e-7
0.026, 3.7252721e-7, 3.2282392e-7
0.025, 4.8830913e-7, 2.3789630e-7
0.024, 3.7783721e-7, 3.3878700e-7
0.023, 4.7295617e-7, 2.6876708e-7
0.022, 4.2251082e-7, 2.5704213e-7
0.021, 4.4759338e-7, 2.7419256e-7
0.020, 4.5230968e-7, 2.7061407e-7
0.019, 3.6416640e-7, 2.8865500e-7
0.018, 5.0437120e-7, 2.7285679e-7
0.017, 3.7129041e-7, 2.8835814e-7
0.016, 4.3242179e-7, 3.1106600e-7
0.015, 4.0656423e-7, 3.1165968e-7
0.014, 4.6136316e-7, 2.6043924e-7
0.013, 4.4594427e-7, 2.9462464e-7
0.012, 4.1497452e-7, 2.1731577e-7
0.011, 4.5226022e-7, 2.8628034e-7
0.010, 4.2419288e-7, 2.9764249e-7
0.009, 4.3055832e-7, 2.7285679e-7
0.008, 3.9114531e-7, 2.9772494e-7
0.007, 4.2762298e-7, 2.8444981e-7
0.006, 3.8987554e-7, 3.2669925e-7
0.005, 4.3113550e-7, 2.7575919e-7
0.004, 4.5920285e-7, 2.6396827e-7
0.003, 4.4101350e-7, 2.7498413e-7
0.002, 4.4510324e-7, 2.3499393e-7
0.001, 3.9887948e-7, 2.7353292e-7
-0.000, 4.5750431e-7, 2.6197287e-7
-0.001, 4.1934459e-7, 2.7399466e-7
-0.002, 3.7996455e-7, 2.7176841e-7
-0.003, 4.0100682e-7, 2.9604286e-7
-0.004, 4.1312757e-7, 2.8214112e-7
-0.005, 4.2394555e-7, 1.8314684e-7
-0.006, 4.6078600e-7, 2.7435749e-7
-0.007, 4.0941711e-7, 2.3679142e-7
-0.008, 4.3125095e-7, 3.1581536e-7
-0.009, 4.3524170e-7, 2.1789296e-7
-0.010, 4.1917968e-7, 2.5176507e-7
-0.011, 4.2124103e-7, 3.2740837e-7
-0.012, 3.6556810e-7, 2.3545567e-7
-0.013, 4.4223381e-7, 2.9220053e-7
-0.014, 4.1100023e-7, 2.2686396e-7
-0.015, 4.0349693e-7, 2.6736538e-7
-0.016, 4.1759657e-7, 2.7226312e-7
-0.017, 3.9810442e-7, 2.6466088e-7
-0.018, 4.3921602e-7, 3.2142222e-7
-0.019, 3.6500739e-7, 2.0303474e-7
-0.020, 4.1309457e-7, 2.9508641e-7
-0.021, 3.8171257e-7, 2.5499727e-7
-0.022, 4.0554178e-7, 2.8497755e-7
-0.023, 4.4452602e-7, 2.1665616e-7
-0.024, 4.0460179e-7, 2.3723666e-7
-0.025, 4.5649836e-7, 2.6436405e-7
-0.026, 3.7460504e-7, 2.4485541e-7
-0.027, 4.6258347e-7, 2.6479282e-7
-0.028, 3.9510309e-7, 2.4427825e-7
-0.029, 3.4507002e-7, 2.7668267e-7
-0.030, 4.3164673e-7, 2.5201243e-7
-0.031, 3.4218414e-7, 3.1471046e-7
-0.032, 4.2368168e-7, 2.4528418e-7
-0.033, 3.8430164e-7, 2.2879337e-7
-0.034, 4.1776147e-7, 2.3542268e-7
-0.035, 4.3298249e-7, 2.4472351e-7
-0.036, 3.3230612e-7, 2.6004344e-7
-0.037, 4.6914681e-7, 1.9856573e-7
-0.038, 3.5531082e-7, 2.7270841e-7
-0.039, 3.9107937e-7, 3.0992811e-7
-0.040, 3.6725015e-7, 2.4678485e-7
-0.041, 4.1852005e-7, 2.5029738e-7
-0.042, 4.2910716e-7, 2.6680470e-7
-0.043, 3.6223696e-7, 2.3875381e-7
-0.044, 4.2137296e-7, 2.4259617e-7
-0.045, 4.0945014e-7, 2.5341416e-7
-0.046, 4.1307806e-7, 2.5491480e-7
-0.047, 3.6057139e-7, 2.8047555e-7
-0.048, 3.9165653e-7, 2.4477296e-7
-0.049, 3.8215782e-7, 2.8454878e-7
-0.050, 3.9594414e-7, 2.5867470e-7
-0.051, 4.1480962e-7, 2.4991809e-7
-0.052, 3.9358594e-7, 2.6274793e-7
-0.053, 4.1581558e-7, 2.1492463e-7
-0.054, 3.6842101e-7, 2.6095046e-7
-0.055, 4.3224037e-7, 2.3016212e-7
-0.056, 3.8355955e-7, 2.8448281e-7
-0.057, 3.3407065e-7, 2.7547884e-7
-0.058, 3.8853977e-7, 2.6390231e-7
