Nov. 26, 2005   00:52:31
Cyclic Voltammetry
File: d:\ida_biofilms\11_15_18_wt\wt_newmedia_postequil_gc.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.1
Low E (V) = -0.5
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0.1
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.100, -5.3116878e-8, -4.9449831e-8, 3.3333334e-1
0.099, -4.8353002e-8, -4.5990337e-8, 6.6666669e-1
0.098, -4.4476124e-8, -4.3138098e-8, 1.0000000e+0
0.097, -4.1133735e-8, -4.0654189e-8, 1.3333334e+0
0.096, -3.8357303e-8, -3.8576559e-8, 1.6666667e+0
0.095, -3.5836251e-8, -3.6678742e-8, 2.0000000e+0
0.094, -3.3589988e-8, -3.5078401e-8, 2.3333333e+0
0.093, -3.1598951e-8, -3.3611222e-8, 2.6666665e+0
0.092, -2.9866008e-8, -3.2317462e-8, 2.9999998e+0
0.091, -2.8232435e-8, -3.1121640e-8, 3.3333330e+0
0.090, -2.6799846e-8, -3.0094530e-8, 3.6666663e+0
0.089, -2.5414145e-8, -2.9054556e-8, 3.9999995e+0
0.088, -2.4218803e-8, -2.8138077e-8, 4.3333330e+0
0.087, -2.3040954e-8, -2.7151865e-8, 4.6666665e+0
0.086, -2.2009447e-8, -2.6460651e-8, 5.0000000e+0
0.085, -2.0959249e-8, -2.5697068e-8, 5.3333335e+0
0.084, -2.0058906e-8, -2.5079427e-8, 5.6666670e+0
0.083, -1.9168549e-8, -2.4422162e-8, 6.0000005e+0
0.082, -1.8386674e-8, -2.3833119e-8, 6.3333340e+0
0.081, -1.7565256e-8, -2.3222666e-8, 6.6666675e+0
0.080, -1.6902959e-8, -2.2742899e-8, 7.0000010e+0
0.079, -1.6149199e-8, -2.2246917e-8, 7.3333344e+0
0.078, -1.5503998e-8, -2.1780091e-8, 7.6666679e+0
0.077, -1.4919028e-8, -2.1304238e-8, 8.0000010e+0
0.076, -1.4286609e-8, -2.0911461e-8, 8.3333340e+0
0.075, -1.3652751e-8, -2.0573964e-8, 8.6666670e+0
0.074, -1.3144946e-8, -2.0219531e-8, 9.0000000e+0
0.073, -1.2588972e-8, -1.9770997e-8, 9.3333330e+0
