Feb. 2, 2006   23:18:45
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_soak_1_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5
2nd E (V) = 0
Sens 2 (A/V) = 1e-5

Potential/V, i1/A, i2/A, Time/s

0.000, -9.7233475e-8, -9.1175501e-8, 3.3333334e-1
-0.001, -8.6238039e-8, -8.3269022e-8, 6.6666669e-1
-0.002, -7.9199062e-8, -7.7300747e-8, 1.0000000e+0
-0.003, -7.3719058e-8, -7.2549767e-8, 1.3333334e+0
-0.004, -6.9431906e-8, -6.8543343e-8, 1.6666667e+0
-0.005, -6.5936042e-8, -6.5269660e-8, 2.0000000e+0
-0.006, -6.2865347e-8, -6.2374170e-8, 2.3333333e+0
-0.007, -6.0113528e-8, -5.9915948e-8, 2.6666665e+0
-0.008, -5.7716036e-8, -5.7989553e-8, 2.9999998e+0
-0.009, -5.5495686e-8, -5.6240435e-8, 3.3333330e+0
-0.010, -5.3511545e-8, -5.4668597e-8, 3.6666663e+0
-0.011, -5.1645515e-8, -5.3285849e-8, 3.9999995e+0
-0.012, -4.9944820e-8, -5.1997649e-8, 4.3333330e+0
-0.013, -4.8551204e-8, -5.0803994e-8, 4.6666665e+0
-0.014, -4.7157577e-8, -4.9787616e-8, 5.0000000e+0
-0.015, -4.5893870e-8, -4.8771238e-8, 5.3333335e+0
-0.016, -4.4830937e-8, -4.7908500e-8, 5.6666670e+0
-0.017, -4.3614474e-8, -4.7081215e-8, 6.0000005e+0
-0.018, -4.2669640e-8, -4.6313016e-8, 6.3333340e+0
-0.019, -4.1630333e-8, -4.5544827e-8, 6.6666675e+0
-0.020, -4.0909903e-8, -4.4859359e-8, 7.0000010e+0
-0.021, -4.0059554e-8, -4.4221174e-8, 7.3333344e+0
-0.022, -3.9291884e-8, -4.3642071e-8, 7.6666679e+0
-0.023, -3.8677747e-8, -4.3133884e-8, 8.0000010e+0
-0.024, -3.7992749e-8, -4.2566601e-8, 8.3333340e+0
-0.025, -3.7319555e-8, -4.2093870e-8, 8.6666670e+0
-0.026, -3.6681797e-8, -4.1526587e-8, 9.0000000e+0
-0.027, -3.6173951e-8, -4.1101121e-8, 9.3333330e+0
-0.028, -3.5607055e-8, -4.0770210e-8, 9.6666660e+0
-0.029, -3.5122831e-8, -4.0522025e-8, 9.9999990e+0
-0.030, -3.4792141e-8, -4.0132022e-8, 1.0333332e+1
-0.031, -3.4260676e-8, -3.9848381e-8, 1.0666665e+1
-0.032, -3.3717395e-8, -3.9541099e-8, 1.0999998e+1
-0.033, -3.3174121e-8, -3.9127460e-8, 1.1333331e+1
-0.034, -3.2713515e-8, -3.8808363e-8, 1.1666664e+1
-0.035, -3.2264726e-8, -3.8560177e-8, 1.1999997e+1
-0.036, -3.1756880e-8, -3.8193807e-8, 1.2333330e+1
-0.037, -3.1308090e-8, -3.7851080e-8, 1.2666663e+1
-0.038, -3.0953775e-8, -3.7449254e-8, 1.2999996e+1
-0.039, -3.0528604e-8, -3.7094701e-8, 1.3333329e+1
-0.040, -3.0068001e-8, -3.6787426e-8, 1.3666662e+1
-0.041, -2.9631016e-8, -3.6562877e-8, 1.3999995e+1
-0.042, -2.9406621e-8, -3.6255596e-8, 1.4333328e+1
-0.043, -2.9146793e-8, -3.6066503e-8, 1.4666661e+1
-0.044, -2.8780670e-8, -3.6007414e-8, 1.4999994e+1
-0.045, -2.8473604e-8, -3.5806501e-8, 1.5333327e+1
-0.046, -2.8296446e-8, -3.5428315e-8, 1.5666660e+1
-0.047, -2.7942136e-8, -3.5215582e-8, 1.5999993e+1
-0.048, -2.7764981e-8, -3.5310130e-8, 1.6333326e+1
-0.049, -2.7375240e-8, -3.5168313e-8, 1.6666660e+1
-0.050, -2.7091792e-8, -3.5026488e-8, 1.6999994e+1
-0.051, -2.6950065e-8, -3.4943763e-8, 1.7333328e+1
-0.052, -2.6749291e-8, -3.4577393e-8, 1.7666662e+1
-0.053, -2.6501274e-8, -3.4364664e-8, 1.7999996e+1
-0.054, -2.6182395e-8, -3.4163751e-8, 1.8333330e+1
-0.055, -2.5709978e-8, -3.4081022e-8, 1.8666664e+1
-0.056, -2.5591875e-8, -3.3868290e-8, 1.8999998e+1
-0.057, -2.5402912e-8, -3.3750108e-8, 1.9333332e+1
-0.058, -2.5119462e-8, -3.3620108e-8, 1.9666666e+1
-0.059, -2.4965926e-8, -3.3407375e-8, 2.0000000e+1
-0.060, -2.4647049e-8, -3.3052824e-8, 2.0333334e+1
-0.061, -2.4528942e-8, -3.2757367e-8, 2.0666668e+1
