Feb. 2, 2006   23:42:50
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_gc_7.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -6.2034573e-8, -7.1331904e-8, 3.3333334e-1
-0.001, -5.1266486e-8, -6.2661719e-8, 6.6666669e-1
-0.002, -4.4470099e-8, -5.6115294e-8, 1.0000000e+0
-0.003, -3.9521446e-8, -5.1029385e-8, 1.3333334e+0
-0.004, -3.5625089e-8, -4.6976279e-8, 1.6666667e+0
-0.005, -3.2450583e-8, -4.3651657e-8, 2.0000000e+0
-0.006, -2.9729716e-8, -4.0880131e-8, 2.3333333e+0
-0.007, -2.7440516e-8, -3.8533010e-8, 2.6666665e+0
-0.008, -2.5418464e-8, -3.6508879e-8, 2.9999998e+0
-0.009, -2.3677501e-8, -3.4768981e-8, 3.3333330e+0
-0.010, -2.2162588e-8, -3.3231295e-8, 3.6666663e+0
-0.011, -2.0746052e-8, -3.1862140e-8, 3.9999995e+0
-0.012, -1.9477858e-8, -3.0623102e-8, 4.3333330e+0
-0.013, -1.8379142e-8, -2.9503195e-8, 4.6666665e+0
-0.014, -1.7312784e-8, -2.8495323e-8, 5.0000000e+0
-0.015, -1.6369492e-8, -2.7570659e-8, 5.3333335e+0
-0.016, -1.5500603e-8, -2.6721272e-8, 5.6666670e+0
-0.017, -1.4668565e-8, -2.5941969e-8, 6.0000005e+0
-0.018, -1.3928056e-8, -2.5224358e-8, 6.3333340e+0
-0.019, -1.3213175e-8, -2.4555439e-8, 6.6666675e+0
-0.020, -1.2555811e-8, -2.3932257e-8, 7.0000010e+0
-0.021, -1.1957026e-8, -2.3347486e-8, 7.3333344e+0
-0.022, -1.1368398e-8, -2.2795213e-8, 7.6666679e+0
-0.023, -1.0831381e-8, -2.2272252e-8, 8.0000010e+0
-0.024, -1.0291293e-8, -2.1781082e-8, 8.3333340e+0
-0.025, -9.7803774e-9, -2.1313429e-8, 8.6666670e+0
-0.026, -9.3686685e-9, -2.0870358e-8, 9.0000000e+0
-0.027, -8.9052303e-9, -2.0449153e-8, 9.3333330e+0
-0.028, -8.4586809e-9, -2.0041773e-8, 9.6666660e+0
-0.029, -8.0730729e-9, -1.9652832e-8, 9.9999990e+0
-0.030, -7.6519155e-9, -1.9281025e-8, 1.0333332e+1
-0.031, -7.2911099e-9, -1.8936758e-8, 1.0666665e+1
-0.032, -6.9239259e-9, -1.8614825e-8, 1.0999998e+1
-0.033, -6.5870940e-9, -1.8299984e-8, 1.1333331e+1
-0.034, -6.3058900e-9, -1.8007007e-8, 1.1666664e+1
-0.035, -6.0009464e-9, -1.7733058e-8, 1.1999997e+1
