Feb. 2, 2006   23:48:29
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\1\75um_control_transfer_1_swv_10.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.0915031e-6, 6.2556217e-7
0.098, 1.2005654e-6, 6.8447537e-7
0.097, 1.1965162e-6, 6.8047615e-7
0.096, 1.1901050e-6, 6.8156464e-7
0.095, 1.1823682e-6, 6.7646641e-7
0.094, 1.1726169e-6, 6.7030152e-7
0.093, 1.1878672e-6, 6.7666417e-7
0.092, 1.1852212e-6, 6.7106737e-7
0.091, 1.1857262e-6, 6.8009626e-7
0.090, 1.1769056e-6, 6.7190899e-7
0.089, 1.1631923e-6, 6.6661323e-7
0.088, 1.1828790e-6, 6.7513668e-7
0.087, 1.1801710e-6, 6.6902737e-7
0.086, 1.1778777e-6, 6.7629645e-7
0.085, 1.1681657e-6, 6.6809264e-7
0.084, 1.1602003e-6, 6.6363771e-7
0.083, 1.1778830e-6, 6.7591822e-7
0.082, 1.1723751e-6, 6.6611574e-7
0.081, 1.1716181e-6, 6.7233094e-7
0.080, 1.1645193e-6, 6.6928055e-7
0.079, 1.1543177e-6, 6.6156019e-7
0.078, 1.1715324e-6, 6.7160966e-7
0.077, 1.1692235e-6, 6.6698004e-7
0.076, 1.1672430e-6, 6.6902044e-7
0.075, 1.1557941e-6, 6.6446552e-7
0.074, 1.1495803e-6, 6.5989639e-7
0.073, 1.1668371e-6, 6.6965362e-7
0.072, 1.1649053e-6, 6.6485813e-7
0.071, 1.1608257e-6, 6.6669986e-7
0.070, 1.1545809e-6, 6.6476917e-7
0.069, 1.1440607e-6, 6.6049063e-7
0.068, 1.1610912e-6, 6.6870086e-7
0.067, 1.1619045e-6, 6.6338708e-7
0.066, 1.1562577e-6, 6.6647419e-7
0.065, 1.1491995e-6, 6.6300470e-7
0.064, 1.1387118e-6, 6.5731984e-7
0.063, 1.1557786e-6, 6.6620555e-7
0.062, 1.1553882e-6, 6.6041986e-7
0.061, 1.1491057e-6, 6.6345586e-7
0.060, 1.1464058e-6, 6.6499518e-7
0.059, 1.1351839e-6, 6.5661686e-7
0.058, 1.1516843e-6, 6.6528332e-7
