Feb. 3, 2006   02:51:13
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\3\75um_control_soak_3_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.6954855e-6, 9.6458007e-7
0.098, 2.1294902e-6, 1.1533007e-6
0.097, 2.1127191e-6, 1.2282019e-6
0.096, 2.1262581e-6, 1.2779218e-6
0.095, 2.1376698e-6, 1.2854416e-6
0.094, 2.1230753e-6, 1.3393829e-6
0.093, 2.1404237e-6, 1.4086279e-6
0.092, 2.0787481e-6, 1.3337597e-6
0.091, 2.0992957e-6, 1.2849468e-6
0.090, 2.1121091e-6, 1.2828031e-6
0.089, 2.1185404e-6, 1.1996235e-6
0.088, 2.1168912e-6, 1.2052963e-6
0.087, 2.0616142e-6, 1.1824400e-6
0.086, 2.1378182e-6, 1.2057744e-6
0.085, 2.0640218e-6, 1.2193959e-6
0.084, 2.0437051e-6, 1.2365792e-6
0.083, 2.0853115e-6, 1.3572590e-6
0.082, 2.0385437e-6, 1.2733703e-6
0.081, 2.0708490e-6, 1.2432416e-6
0.080, 1.9910501e-6, 1.2425819e-6
0.079, 2.0657699e-6, 1.2309559e-6
0.078, 2.0380817e-6, 1.1526740e-6
0.077, 2.0543089e-6, 1.1461602e-6
0.076, 2.0771815e-6, 1.2387231e-6
0.075, 1.9887084e-6, 1.1945442e-6
0.074, 2.0701896e-6, 1.1452862e-6
0.073, 1.9879496e-6, 1.2896961e-6
0.072, 1.9941999e-6, 1.3472327e-6
0.071, 2.0081015e-6, 1.2465233e-6
0.070, 1.9976299e-6, 1.1721662e-6
0.069, 2.0442822e-6, 1.2420708e-6
0.068, 1.9960139e-6, 1.1512559e-6
0.067, 2.0189855e-6, 1.1006291e-6
0.066, 2.0388734e-6, 1.1421200e-6
0.065, 2.0282862e-6, 1.1706820e-6
0.064, 2.0247408e-6, 1.2306755e-6
0.063, 1.9923527e-6, 1.1589736e-6
0.062, 1.9983886e-6, 1.2959133e-6
0.061, 1.9686224e-6, 1.2891026e-6
0.060, 1.9641041e-6, 1.2040596e-6
0.059, 1.9721847e-6, 1.2086274e-6
0.058, 1.9813040e-6, 1.1520804e-6
0.057, 1.9914128e-6, 1.1538284e-6
0.056, 1.9399945e-6, 1.1100124e-6
0.055, 1.9937215e-6, 1.1467869e-6
0.054, 1.9878178e-6, 1.1704676e-6
0.053, 1.9473659e-6, 1.1499531e-6
0.052, 1.9669899e-6, 1.2634428e-6
0.051, 1.9577881e-6, 1.2442310e-6
0.050, 1.9651102e-6, 1.1743431e-6
0.049, 1.9438039e-6, 1.1807414e-6
0.048, 1.9850145e-6, 1.1930601e-6
0.047, 2.0068153e-6, 1.1730732e-6
0.046, 1.9380320e-6, 1.0630961e-6
0.045, 1.9824420e-6, 1.1536636e-6
0.044, 1.9414128e-6, 1.1627994e-6
0.043, 1.9651759e-6, 1.1632447e-6
0.042, 1.9079694e-6, 1.1619254e-6
0.041, 1.9307763e-6, 1.2709957e-6
0.040, 1.9725637e-6, 1.3057911e-6
0.039, 1.9313204e-6, 1.1343034e-6
0.038, 1.9832828e-6, 1.1881788e-6
0.037, 1.9394338e-6, 1.1607217e-6
0.036, 1.9614326e-6, 1.1286635e-6
0.035, 1.9530553e-6, 1.0910151e-6
0.034, 1.9177319e-6, 1.1200717e-6
0.033, 1.9691997e-6, 1.2192804e-6
0.032, 1.8938532e-6, 1.0990791e-6
0.031, 1.9707663e-6, 1.2512726e-6
0.030, 1.9097174e-6, 1.2533339e-6
0.029, 1.9256311e-6, 1.1569452e-6
0.028, 1.9607235e-6, 1.1747883e-6
0.027, 1.9301660e-6, 1.1339406e-6
0.026, 1.9709807e-6, 1.1479412e-6
0.025, 1.8931771e-6, 1.0866779e-6
0.024, 1.9460631e-6, 1.1314174e-6
0.023, 1.9481245e-6, 1.1634097e-6
0.022, 1.9680124e-6, 1.1228258e-6
0.021, 1.9348495e-6, 1.2048181e-6
0.020, 1.9172041e-6, 1.2289111e-6
0.019, 1.9746583e-6, 1.2167905e-6
0.018, 1.9138402e-6, 1.1641187e-6
0.017, 1.9246249e-6, 1.1847651e-6
0.016, 1.9570955e-6, 1.1874038e-6
0.015, 1.9073427e-6, 1.0980401e-6
0.014, 1.9506147e-6, 1.0877663e-6
0.013, 1.8985037e-6, 1.1121563e-6
0.012, 1.9701397e-6, 1.1515692e-6
0.011, 1.9520658e-6, 1.1182908e-6
0.010, 1.9354432e-6, 1.1656524e-6
0.009, 1.9572108e-6, 1.2970511e-6
0.008, 1.9039289e-6, 1.2089407e-6
0.007, 1.9570296e-6, 1.1431424e-6
0.006, 1.9101792e-6, 1.1795212e-6
0.005, 1.9000703e-6, 1.1662626e-6
0.004, 1.9233057e-6, 1.1052136e-6
0.003, 1.9075735e-6, 1.0352431e-6
0.002, 1.9728773e-6, 1.1850620e-6
0.001, 1.9193644e-6, 1.1437692e-6
-0.000, 1.9386423e-6, 1.1429116e-6
-0.001, 1.9417262e-6, 1.2592047e-6
-0.002, 1.9456509e-6, 1.2541420e-6
-0.003, 1.9559907e-6, 1.2718202e-6
-0.004, 1.8974647e-6, 1.1562031e-6
-0.005, 1.9465083e-6, 1.1937527e-6
-0.006, 1.9364984e-6, 1.1284162e-6
-0.007, 1.9216236e-6, 1.0986668e-6
-0.008, 1.9338268e-6, 1.1747884e-6
-0.009, 1.9527090e-6, 1.1350619e-6
-0.010, 1.9479103e-6, 1.1936042e-6
-0.011, 1.8591071e-6, 1.1746234e-6
-0.012, 1.9365314e-6, 1.2700887e-6
-0.013, 1.9147801e-6, 1.2490134e-6
-0.014, 1.9021315e-6, 1.1971993e-6
-0.015, 1.9242127e-6, 1.2337100e-6
-0.016, 1.9254990e-6, 1.1771630e-6
-0.017, 1.9610698e-6, 1.1172024e-6
-0.018, 1.9149945e-6, 1.1558568e-6
-0.019, 1.9540280e-6, 1.2013879e-6
-0.020, 1.9517854e-6, 1.1709294e-6
-0.021, 1.9112674e-6, 1.1755138e-6
-0.022, 1.9358554e-6, 1.2539606e-6
-0.023, 1.8966402e-6, 1.2723478e-6
-0.024, 1.9558915e-6, 1.2048015e-6
-0.025, 1.9055947e-6, 1.1731062e-6
-0.026, 1.9156375e-6, 1.2242112e-6
-0.027, 1.9739491e-6, 1.2002336e-6
-0.028, 1.9291269e-6, 1.1075717e-6
-0.029, 1.9698593e-6, 1.1995739e-6
-0.030, 1.9203044e-6, 1.2192970e-6
-0.031, 1.9652748e-6, 1.2191156e-6
-0.032, 1.9456343e-6, 1.1809394e-6
-0.033, 1.9207994e-6, 1.3067641e-6
-0.034, 1.9453705e-6, 1.3752505e-6
-0.035, 1.9057925e-6, 1.1955832e-6
-0.036, 1.9713766e-6, 1.2177964e-6
-0.037, 1.9126032e-6, 1.2174005e-6
-0.038, 1.9450242e-6, 1.2043233e-6
-0.039, 1.9382464e-6, 1.1456655e-6
-0.040, 1.9182430e-6, 1.1667242e-6
-0.041, 1.9778079e-6, 1.2533504e-6
-0.042, 1.9157694e-6, 1.2254975e-6
-0.043, 1.9489655e-6, 1.2091222e-6
-0.044, 1.9396978e-6, 1.3274107e-6
-0.045, 1.9587942e-6, 1.3280044e-6
-0.046, 1.9592228e-6, 1.2723973e-6
-0.047, 1.9234708e-6, 1.2642014e-6
-0.048, 1.9708159e-6, 1.2481394e-6
-0.049, 1.9350141e-6, 1.2009922e-6
-0.050, 1.9227120e-6, 1.2073576e-6
-0.051, 1.9610202e-6, 1.2502172e-6
-0.052, 1.9513568e-6, 1.2426480e-6
-0.053, 1.9885433e-6, 1.2758604e-6
-0.054, 1.9288136e-6, 1.2402568e-6
-0.055, 1.9728111e-6, 1.3495084e-6
-0.056, 1.9740974e-6, 1.3234694e-6
-0.057, 1.9449253e-6, 1.2699237e-6
-0.058, 1.9736028e-6, 1.3400590e-6
-0.059, 1.9491304e-6, 1.3038452e-6
-0.060, 1.9838931e-6, 1.2231063e-6
-0.061, 1.9379497e-6, 1.2040430e-6
-0.062, 1.9447439e-6, 1.2885419e-6
-0.063, 1.9797044e-6, 1.3195445e-6
-0.064, 1.9434410e-6, 1.2265858e-6
-0.065, 1.9646318e-6, 1.3345677e-6
-0.066, 1.9250867e-6, 1.3928791e-6
-0.067, 1.9579202e-6, 1.3409660e-6
-0.068, 1.9648296e-6, 1.3075228e-6
-0.069, 1.9674187e-6, 1.3064673e-6
-0.070, 2.0052651e-6, 1.3914114e-6
-0.071, 1.9763568e-6, 1.2325556e-6
-0.072, 1.9904564e-6, 1.2771467e-6
-0.073, 1.9733884e-6, 1.3434396e-6
-0.074, 1.9947770e-6, 1.3216718e-6
-0.075, 1.9851464e-6, 1.3413949e-6
