Feb. 2, 2006   22:54:41
Cyclic Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\0um_control_transfer_0_gc_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0
Low E (V) = -0.4
Init P/N = N
Scan Rate (V/s) = 0.003
Segment = 1
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-7
2nd E (V) = 0
Sens 2 (A/V) = 1e-7

Potential/V, i1/A, i2/A, Time/s

0.000, -1.6443069e-8, -1.8999275e-8, 3.3333334e-1
-0.001, -1.1420835e-8, -1.6492130e-8, 6.6666669e-1
-0.002, -9.0768344e-9, -1.4635112e-8, 1.0000000e+0
-0.003, -7.5149158e-9, -1.3215255e-8, 1.3333334e+0
-0.004, -6.2903003e-9, -1.2091684e-8, 1.6666667e+0
-0.005, -5.2965774e-9, -1.1175406e-8, 2.0000000e+0
-0.006, -4.4155248e-9, -1.0411941e-8, 2.3333333e+0
-0.007, -3.6882435e-9, -9.7627577e-9, 2.6666665e+0
-0.008, -3.0454061e-9, -9.2016217e-9, 2.9999998e+0
-0.009, -2.4508728e-9, -8.7165972e-9, 3.3333330e+0
-0.010, -1.9625146e-9, -8.2821545e-9, 3.6666663e+0
-0.011, -1.4820696e-9, -7.8995948e-9, 3.9999995e+0
-0.012, -1.0436694e-9, -7.5570981e-9, 4.3333330e+0
-0.013, -6.8038286e-10, -7.2472206e-9, 4.6666665e+0
-0.014, -3.0493172e-10, -6.9609807e-9, 5.0000000e+0
-0.015, 2.9537452e-11, -6.6981398e-9, 5.3333335e+0
-0.016, 3.2562297e-10, -6.4553909e-9, 5.6666670e+0
-0.017, 6.3529043e-10, -6.2361605e-9, 6.0000005e+0
-0.018, 8.8413454e-10, -6.0367848e-9, 6.3333340e+0
-0.019, 1.1406555e-9, -5.8460370e-9, 6.6666675e+0
-0.020, 1.3879642e-9, -5.6738432e-9, 7.0000010e+0
-0.021, 1.5926376e-9, -5.5101594e-9, 7.3333344e+0
-0.022, 1.8060508e-9, -5.3580571e-9, 7.6666679e+0
-0.023, 1.9856861e-9, -5.2118638e-9, 8.0000010e+0
-0.024, 2.1917768e-9, -5.0745346e-9, 8.3333340e+0
-0.025, 2.3762545e-9, -4.9478421e-9, 8.6666670e+0
-0.026, 2.5048692e-9, -4.8252855e-9, 9.0000000e+0
-0.027, 2.6823788e-9, -4.7156106e-9, 9.3333330e+0
-0.028, 2.8535110e-9, -4.6021547e-9, 9.6666660e+0
-0.029, 2.9692524e-9, -4.4985078e-9, 9.9999990e+0
-0.030, 3.1168816e-9, -4.4073882e-9, 1.0333332e+1
-0.031, 3.2581338e-9, -4.3087049e-9, 1.0666665e+1
-0.032, 3.3679699e-9, -4.2265671e-9, 1.0999998e+1
-0.033, 3.5095760e-9, -4.1470298e-9, 1.1333331e+1
-0.034, 3.5800838e-9, -4.0711559e-9, 1.1666664e+1
-0.035, 3.7018486e-9, -3.9935100e-9, 1.1999997e+1
-0.036, 3.8226684e-9, -3.9130263e-9, 1.2333330e+1
-0.037, 3.9215213e-9, -3.8377435e-9, 1.2666663e+1
-0.038, 4.0230899e-9, -3.7727426e-9, 1.2999996e+1
-0.039, 4.1148565e-9, -3.7072689e-9, 1.3333329e+1
-0.040, 4.2112291e-9, -3.6395498e-9, 1.3666662e+1
-0.041, 4.3041766e-9, -3.5893217e-9, 1.3999995e+1
-0.042, 4.3637010e-9, -3.5284571e-9, 1.4333328e+1
-0.043, 4.4760169e-9, -3.4683016e-9, 1.4666661e+1
-0.044, 4.5686099e-9, -3.4075551e-9, 1.4999994e+1
-0.045, 4.6545892e-9, -3.3430272e-9, 1.5333327e+1
-0.046, 4.6854147e-9, -3.3154901e-9, 1.5666660e+1
-0.047, 4.7866293e-9, -3.2435168e-9, 1.5999993e+1
-0.048, 4.8467443e-9, -3.2027434e-9, 1.6333326e+1
-0.049, 4.9297704e-9, -3.1600793e-9, 1.6666660e+1
-0.050, 4.9507936e-9, -3.1564151e-9, 1.6999994e+1
-0.051, 5.0352371e-9, -3.1048875e-9, 1.7333328e+1
-0.052, 5.1157838e-9, -3.0509957e-9, 1.7666662e+1
-0.053, 5.1601905e-9, -3.0062042e-9, 1.7999996e+1
-0.054, 5.2293996e-9, -2.9634215e-9, 1.8333330e+1
-0.055, 5.2713260e-9, -2.9297391e-9, 1.8666664e+1
-0.056, 5.3280158e-9, -2.8992477e-9, 1.8999998e+1
-0.057, 5.4021849e-9, -2.8645017e-9, 1.9333332e+1
-0.058, 5.4365530e-9, -2.8317650e-9, 1.9666666e+1
-0.059, 5.4973763e-9, -2.7940645e-9, 2.0000000e+1
-0.060, 5.5526490e-9, -2.7608549e-9, 2.0333334e+1
-0.061, 5.5800489e-9, -2.7301272e-9, 2.0666668e+1
-0.062, 5.6513834e-9, -2.6965632e-9, 2.1000002e+1
-0.063, 5.7019318e-9, -2.6615807e-9, 2.1333336e+1
-0.064, 5.7313394e-9, -2.6340441e-9, 2.1666670e+1
-0.065, 5.7978320e-9, -2.6018980e-9, 2.2000004e+1
-0.066, 5.8167284e-9, -2.5763707e-9, 2.2333338e+1
-0.067, 5.8704654e-9, -2.5467064e-9, 2.2666672e+1
-0.068, 5.9191239e-9, -2.5139695e-9, 2.3000006e+1
-0.069, 5.9552638e-9, -2.4845417e-9, 2.3333340e+1
-0.070, 6.0066387e-9, -2.4577140e-9, 2.3666674e+1
