Feb. 2, 2006   22:50:21
Square Wave Voltammetry
File: z:\users\scottsaunders\git\labwork\ida\01_23_19_psoralen_nonequil_3\data\control\0um_control_transfer_0_swv_1.txt
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 1.0129886e-6, 6.1755861e-7
0.098, 1.0550009e-6, 6.4643967e-7
0.097, 1.0612102e-6, 6.4577705e-7
0.096, 1.0649962e-6, 6.4700021e-7
0.095, 1.0662375e-6, 6.4686230e-7
0.094, 1.0614431e-6, 6.4713481e-7
0.093, 1.0545107e-6, 6.4270898e-7
0.092, 1.0589110e-6, 6.4613670e-7
0.091, 1.0626127e-6, 6.4404594e-7
0.090, 1.0644625e-6, 6.4452774e-7
0.089, 1.0609434e-6, 6.4881863e-7
0.088, 1.0519564e-6, 6.4008907e-7
0.087, 1.0554133e-6, 6.4126232e-7
0.086, 1.0598699e-6, 6.4172485e-7
0.085, 1.0609101e-6, 6.4098055e-7
0.084, 1.0582849e-6, 6.4809518e-7
0.083, 1.0474090e-6, 6.3726270e-7
0.082, 1.0516555e-6, 6.3821329e-7
0.081, 1.0571167e-6, 6.4027608e-7
0.080, 1.0601124e-6, 6.4011658e-7
0.079, 1.0547391e-6, 6.4371176e-7
0.078, 1.0463622e-6, 6.3896789e-7
0.077, 1.0532361e-6, 6.3780504e-7
0.076, 1.0557246e-6, 6.3959982e-7
0.075, 1.0576490e-6, 6.3687821e-7
0.074, 1.0553454e-6, 6.4258177e-7
0.073, 1.0447949e-6, 6.3870777e-7
0.072, 1.0484255e-6, 6.3606456e-7
0.071, 1.0549239e-6, 6.3920066e-7
0.070, 1.0560558e-6, 6.3782034e-7
0.069, 1.0529729e-6, 6.4028450e-7
0.068, 1.0414059e-6, 6.3379355e-7
0.067, 1.0501628e-6, 6.3774701e-7
0.066, 1.0518507e-6, 6.3601567e-7
0.065, 1.0550571e-6, 6.3830112e-7
0.064, 1.0507550e-6, 6.3873472e-7
0.063, 1.0432120e-6, 6.3409209e-7
0.062, 1.0471369e-6, 6.3413643e-7
0.061, 1.0521405e-6, 6.3570837e-7
0.060, 1.0518255e-6, 6.3521395e-7
0.059, 1.0521443e-6, 6.4242585e-7
0.058, 1.0424860e-6, 6.3308818e-7
0.057, 1.0446233e-6, 6.3049947e-7
0.056, 1.0506094e-6, 6.3422186e-7
0.055, 1.0516378e-6, 6.3385460e-7
0.054, 1.0485617e-6, 6.3935289e-7
0.053, 1.0365279e-6, 6.3042631e-7
0.052, 1.0460509e-6, 6.3211775e-7
0.051, 1.0503684e-6, 6.3489597e-7
0.050, 1.0509310e-6, 6.3291924e-7
0.049, 1.0468020e-6, 6.3692272e-7
0.048, 1.0381433e-6, 6.3280140e-7
0.047, 1.0468686e-6, 6.3288093e-7
0.046, 1.0487140e-6, 6.3429957e-7
0.045, 1.0504905e-6, 6.3228600e-7
0.044, 1.0475620e-6, 6.3636253e-7
0.043, 1.0391724e-6, 6.3433254e-7
0.042, 1.0408107e-6, 6.2928615e-7
0.041, 1.0484100e-6, 6.3394151e-7
0.040, 1.0466756e-6, 6.3081194e-7
0.039, 1.0457692e-6, 6.3472868e-7
0.038, 1.0342671e-6, 6.2897573e-7
0.037, 1.0419876e-6, 6.2904564e-7
0.036, 1.0481505e-6, 6.3181670e-7
0.035, 1.0487353e-6, 6.3269204e-7
0.034, 1.0438537e-6, 6.3252708e-7
0.033, 1.0358324e-6, 6.2862944e-7
0.032, 1.0421414e-6, 6.3250263e-7
0.031, 1.0465900e-6, 6.3125833e-7
0.030, 1.0477712e-6, 6.3152635e-7
0.029, 1.0448207e-6, 6.3581473e-7
0.028, 1.0371223e-6, 6.2898135e-7
0.027, 1.0375140e-6, 6.2879928e-7
0.026, 1.0449560e-6, 6.3002182e-7
0.025, 1.0469239e-6, 6.3030689e-7
0.024, 1.0447557e-6, 6.3712446e-7
0.023, 1.0334960e-6, 6.2656159e-7
0.022, 1.0422139e-6, 6.3017774e-7
0.021, 1.0453959e-6, 6.3130955e-7
0.020, 1.0474379e-6, 6.3037174e-7
0.019, 1.0426627e-6, 6.3438972e-7
0.018, 1.0351152e-6, 6.3081052e-7
0.017, 1.0406612e-6, 6.2737718e-7
0.016, 1.0442641e-6, 6.2922828e-7
0.015, 1.0464183e-6, 6.2868952e-7
0.014, 1.0417467e-6, 6.3208779e-7
0.013, 1.0331257e-6, 6.2931110e-7
0.012, 1.0378942e-6, 6.2843810e-7
0.011, 1.0449123e-6, 6.3002250e-7
0.010, 1.0460147e-6, 6.3036930e-7
0.009, 1.0434286e-6, 6.3315883e-7
0.008, 1.0310298e-6, 6.2657824e-7
0.007, 1.0395073e-6, 6.3021014e-7
0.006, 1.0427041e-6, 6.2919173e-7
0.005, 1.0451977e-6, 6.3067000e-7
0.004, 1.0415345e-6, 6.3254765e-7
0.003, 1.0331752e-6, 6.2674729e-7
0.002, 1.0400308e-6, 6.3014295e-7
0.001, 1.0411790e-6, 6.2928058e-7
-0.000, 1.0441183e-6, 6.2953626e-7
-0.001, 1.0405682e-6, 6.3351996e-7
-0.002, 1.0320803e-6, 6.2682483e-7
-0.003, 1.0341164e-6, 6.2398510e-7
-0.004, 1.0419226e-6, 6.2818464e-7
-0.005, 1.0420528e-6, 6.2737843e-7
-0.006, 1.0393853e-6, 6.3271204e-7
-0.007, 1.0298439e-6, 6.2442632e-7
-0.008, 1.0368769e-6, 6.2605568e-7
-0.009, 1.0407930e-6, 6.3009605e-7
-0.010, 1.0432844e-6, 6.2777781e-7
-0.011, 1.0394947e-6, 6.3201776e-7
-0.012, 1.0304753e-6, 6.2739912e-7
-0.013, 1.0385049e-6, 6.2659819e-7
-0.014, 1.0410739e-6, 6.2929314e-7
-0.015, 1.0428379e-6, 6.2817628e-7
-0.016, 1.0392073e-6, 6.3145944e-7
-0.017, 1.0298559e-6, 6.2838848e-7
-0.018, 1.0339589e-6, 6.2333714e-7
-0.019, 1.0391341e-6, 6.2784801e-7
-0.020, 1.0416078e-6, 6.2824529e-7
-0.021, 1.0388228e-6, 6.3062794e-7
-0.022, 1.0289989e-6, 6.2717106e-7
-0.023, 1.0377781e-6, 6.2968712e-7
-0.024, 1.0417305e-6, 6.2772364e-7
-0.025, 1.0412382e-6, 6.2817355e-7
-0.026, 1.0377893e-6, 6.3038203e-7
-0.027, 1.0283135e-6, 6.2507229e-7
-0.028, 1.0368807e-6, 6.2969957e-7
-0.029, 1.0399584e-6, 6.2980314e-7
-0.030, 1.0414716e-6, 6.2885186e-7
-0.031, 1.0385522e-6, 6.3255970e-7
-0.032, 1.0296349e-6, 6.2587702e-7
-0.033, 1.0318438e-6, 6.2438193e-7
-0.034, 1.0402896e-6, 6.3085037e-7
-0.035, 1.0404264e-6, 6.2740713e-7
-0.036, 1.0373057e-6, 6.3239889e-7
-0.037, 1.0280785e-6, 6.2500226e-7
-0.038, 1.0362374e-6, 6.2649241e-7
-0.039, 1.0382122e-6, 6.2774143e-7
-0.040, 1.0417689e-6, 6.2845601e-7
-0.041, 1.0366167e-6, 6.3195932e-7
-0.042, 1.0280002e-6, 6.2780327e-7
-0.043, 1.0351617e-6, 6.2636258e-7
-0.044, 1.0384583e-6, 6.2658307e-7
-0.045, 1.0412446e-6, 6.2844998e-7
-0.046, 1.0375651e-6, 6.3193272e-7
-0.047, 1.0270087e-6, 6.2662866e-7
-0.048, 1.0317794e-6, 6.2385624e-7
-0.049, 1.0396951e-6, 6.2818845e-7
-0.050, 1.0405290e-6, 6.2912045e-7
-0.051, 1.0382157e-6, 6.3249627e-7
-0.052, 1.0266317e-6, 6.2594961e-7
-0.053, 1.0336706e-6, 6.2826194e-7
-0.054, 1.0404773e-6, 6.2837273e-7
-0.055, 1.0391436e-6, 6.2892104e-7
-0.056, 1.0374928e-6, 6.3237655e-7
-0.057, 1.0267913e-6, 6.2558604e-7
-0.058, 1.0362256e-6, 6.3162202e-7
-0.059, 1.0387820e-6, 6.2775621e-7
-0.060, 1.0398873e-6, 6.2944741e-7
-0.061, 1.0371963e-6, 6.3331021e-7
-0.062, 1.0289627e-6, 6.2762189e-7
-0.063, 1.0330422e-6, 6.2834994e-7
-0.064, 1.0404559e-6, 6.3066642e-7
-0.065, 1.0422619e-6, 6.2910874e-7
-0.066, 1.0366034e-6, 6.3318328e-7
-0.067, 1.0275492e-6, 6.2647933e-7
-0.068, 1.0345149e-6, 6.2783607e-7
-0.069, 1.0385965e-6, 6.3187798e-7
-0.070, 1.0390351e-6, 6.2968576e-7
-0.071, 1.0365310e-6, 6.3365070e-7
-0.072, 1.0262495e-6, 6.2712832e-7
-0.073, 1.0359757e-6, 6.2851484e-7
-0.074, 1.0372148e-6, 6.2886443e-7
-0.075, 1.0413224e-6, 6.3218516e-7
-0.076, 1.0380190e-6, 6.3445913e-7
-0.077, 1.0271582e-6, 6.2906190e-7
-0.078, 1.0345349e-6, 6.2787859e-7
-0.079, 1.0404706e-6, 6.3062123e-7
-0.080, 1.0391474e-6, 6.2987510e-7
-0.081, 1.0382579e-6, 6.3449863e-7
