measured_phz,strain,added_phz,added_phz_conc,condition,condition_conc,material,rep,RT,Area,Channel Name,Amount
PYO,dPHZ,PYO,50uM,pi,10uM,cells,1,6.062,88069,313.0nm,2.876
PCN,dPHZ,PYO,50uM,pi,10uM,cells,1,8.899,1057,364.0nm,0.075
PCA,dPHZ,PYO,50uM,pi,10uM,cells,1,3.079,57,364.0nm,0.004
PYO,dPHZ,PYO,50uM,pi,100uM,cells,1,6.079,147128,313.0nm,4.805
PCN,dPHZ,PYO,50uM,pi,100uM,cells,1,8.916,785,364.0nm,0.056
PCA,dPHZ,PYO,50uM,pi,100uM,cells,1,3.06,46,364.0nm,0.003
PYO,dPHZ,PYO,50uM,pi,200uM,cells,1,6.057,143909,313.0nm,4.7
PCN,dPHZ,PYO,50uM,pi,200uM,cells,1,8.902,611,364.0nm,0.043
PCA,dPHZ,PYO,50uM,pi,200uM,cells,1,2.805,57,364.0nm,0.004
PYO,dPHZ,PYO,50uM,pi,10uM,cells,2,6.066,83115,313.0nm,2.715
PCA,dPHZ,PYO,50uM,pi,10uM,cells,2,3.04,38,364.0nm,0.002
PCN,dPHZ,PYO,50uM,pi,10uM,cells,2,8.739,698,364.0nm,0.05
PYO,dPHZ,PYO,50uM,pi,100uM,cells,2,6.05,119892,313.0nm,3.916
PCN,dPHZ,PYO,50uM,pi,100uM,cells,2,8.743,606,364.0nm,0.043
PCA,dPHZ,PYO,50uM,pi,100uM,cells,2,3.147,52,364.0nm,0.003
PYO,dPHZ,PYO,50uM,pi,200uM,cells,2,6.064,81418,313.0nm,2.659
PCN,dPHZ,PYO,50uM,pi,200uM,cells,2,8.936,495,364.0nm,0.035
PCA,dPHZ,PYO,50uM,pi,200uM,cells,2,2.77,59,364.0nm,0.004
PCN,dPHZ,PCN,50uM,pi,10uM,cells,1,8.904,10735,364.0nm,0.763
PCA,dPHZ,PCN,50uM,pi,10uM,cells,1,2.811,43,364.0nm,0.003
PCN,dPHZ,PCN,50uM,pi,100uM,cells,1,8.92,12699,364.0nm,0.902
PCA,dPHZ,PCN,50uM,pi,100uM,cells,1,3.103,68,364.0nm,0.004
PYO,dPHZ,PCN,50uM,pi,200uM,cells,1,6.048,35,313.0nm,0.001
PCA,dPHZ,PCN,50uM,pi,200uM,cells,1,2.897,34,364.0nm,0.002
PCN,dPHZ,PCN,50uM,pi,200uM,cells,1,8.913,10374,364.0nm,0.737
PCN,dPHZ,PCN,50uM,pi,10uM,cells,2,8.921,12947,364.0nm,0.92
PCA,dPHZ,PCN,50uM,pi,10uM,cells,2,2.968,29,364.0nm,0.002
PYO,dPHZ,PCN,50uM,pi,100uM,cells,2,6.001,22,313.0nm,0.001
PCN,dPHZ,PCN,50uM,pi,100uM,cells,2,8.916,12671,364.0nm,0.9
PCA,dPHZ,PCN,50uM,pi,100uM,cells,2,3.103,44,364.0nm,0.003
PCA,dPHZ,PCN,50uM,pi,200uM,cells,2,2.879,42,364.0nm,0.003
PCN,dPHZ,PCN,50uM,pi,200uM,cells,2,8.914,12332,364.0nm,0.876
PYO,PBS,,,blank,,,,6.062,458,313.0nm,0.015
PYO,dPHZ,PYO,50uM,etbr,10uM,cells,1,6.058,166826,313.0nm,5.449
PCN,dPHZ,PYO,50uM,etbr,10uM,cells,1,8.744,692,364.0nm,0.049
PCA,dPHZ,PYO,50uM,etbr,10uM,cells,1,2.863,55,364.0nm,0.004
PYO,dPHZ,PYO,50uM,etbr,100uM,cells,1,6.059,144308,313.0nm,4.713
PCN,dPHZ,PYO,50uM,etbr,100uM,cells,1,8.751,428,364.0nm,0.03
PCA,dPHZ,PYO,50uM,etbr,100uM,cells,1,3.241,30,364.0nm,0.002
PYO,dPHZ,PYO,50uM,etbr,500uM,cells,1,6.057,96699,313.0nm,3.158
PCN,dPHZ,PYO,50uM,etbr,500uM,cells,1,8.743,237,364.0nm,0.017
PCA,dPHZ,PYO,50uM,etbr,500uM,cells,1,3.031,38,364.0nm,0.003
PYO,dPHZ,PYO,50uM,etbr,10uM,cells,2,6.065,155190,313.0nm,5.069
PCN,dPHZ,PYO,50uM,etbr,10uM,cells,2,8.76,713,364.0nm,0.051
PCA,dPHZ,PYO,50uM,etbr,10uM,cells,2,3.039,41,364.0nm,0.003
PYO,dPHZ,PYO,50uM,etbr,100uM,cells,2,6.065,140067,313.0nm,4.575
PCN,dPHZ,PYO,50uM,etbr,100uM,cells,2,8.754,484,364.0nm,0.034
PCA,dPHZ,PYO,50uM,etbr,100uM,cells,2,2.863,78,364.0nm,0.005
PYO,dPHZ,PYO,50uM,etbr,500uM,cells,2,6.05,73931,313.0nm,2.415
PCN,dPHZ,PYO,50uM,etbr,500uM,cells,2,8.729,365,364.0nm,0.026
PCA,dPHZ,PYO,50uM,etbr,500uM,cells,2,3.15,29,364.0nm,0.002
PYO,dPHZ,PCN,50uM,etbr,10uM,cells,1,6.057,237,313.0nm,0.008
PCN,dPHZ,PCN,50uM,etbr,10uM,cells,1,8.908,13071,364.0nm,0.929
PCA,dPHZ,PCN,50uM,etbr,10uM,cells,1,2.917,40,364.0nm,0.003
PCA,dPHZ,PCN,50uM,etbr,100uM,cells,1,3.209,32,364.0nm,0.002
PCN,dPHZ,PCN,50uM,etbr,100uM,cells,1,8.906,17508,364.0nm,1.244
