well,red,ox,red_ox,rep
B1,PBS,PCA,PBS_PCA,1
B2,PBS,PCN,PBS_PCN,1
B3,PBS,PYO,PBS_PYO,1
B4,PCA,PBS,PCA_PBS,1
B5,PCN,PBS,PCN_PBS,1
B6,PYO,PBS,PYO_PBS,1
C1,PCA,PCN,PCA_PCN,1
C2,PCA,PCN,PCA_PCN,2
C3,PCA,PCN,PCA_PCN,3
C4,PCA,PYO,PCA_PYO,1
C5,PCA,PYO,PCA_PYO,2
C6,PCA,PYO,PCA_PYO,3
D1,PCN,PCA,PCN_PCA,1
D2,PCN,PCA,PCN_PCA,2
D3,PCN,PCA,PCN_PCA,3
D4,PCN,PYO,PCN_PYO,1
D5,PCN,PYO,PCN_PYO,2
D6,PCN,PYO,PCN_PYO,3
E1,PYO,PCA,PYO_PCA,1
E2,PYO,PCA,PYO_PCA,2
E3,PYO,PCA,PYO_PCA,3
E4,PYO,PCN,PYO_PCN,1
E5,PYO,PCN,PYO_PCN,2
E6,PYO,PCN,PYO_PCN,3
A4,PBS,PBS,PBS_PBS,1
A5,PBS,PBS,PBS_PBS,2
A6,PBS,PBS,PBS_PBS,3
