min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
0.10,0.103,0.102,0.107,0.1,0.098,0.099,0.043,0.043,0.043,0.04,0.042,0.044,0.044,0.057,0.043,0.045,0.046,0.044,0.056,0.05,0.065,0.049,0.052,0.05
0.27,0.103,0.102,0.107,0.1,0.098,0.099,0.044,0.044,0.044,0.041,0.042,0.044,0.044,0.057,0.042,0.046,0.046,0.044,0.056,0.05,0.064,0.049,0.052,0.05
0.43,0.103,0.102,0.107,0.1,0.099,0.098,0.044,0.043,0.044,0.041,0.042,0.044,0.044,0.057,0.043,0.046,0.047,0.044,0.056,0.05,0.064,0.05,0.052,0.05
0.60,0.103,0.102,0.107,0.1,0.098,0.098,0.044,0.043,0.044,0.041,0.042,0.044,0.045,0.058,0.043,0.046,0.046,0.045,0.056,0.05,0.064,0.05,0.052,0.05
0.77,0.103,0.102,0.106,0.1,0.098,0.098,0.044,0.043,0.044,0.041,0.043,0.044,0.044,0.057,0.043,0.046,0.047,0.045,0.056,0.05,0.064,0.051,0.052,0.05
0.93,0.102,0.102,0.107,0.099,0.098,0.098,0.044,0.043,0.044,0.041,0.042,0.044,0.044,0.058,0.043,0.045,0.047,0.045,0.056,0.051,0.064,0.051,0.052,0.05
1.10,0.103,0.102,0.107,0.1,0.098,0.098,0.044,0.044,0.043,0.041,0.042,0.044,0.045,0.058,0.044,0.046,0.047,0.045,0.056,0.051,0.064,0.051,0.052,0.049
1.27,0.103,0.102,0.107,0.099,0.097,0.098,0.044,0.044,0.044,0.042,0.042,0.044,0.044,0.057,0.043,0.046,0.047,0.045,0.056,0.051,0.064,0.051,0.051,0.049
1.43,0.102,0.102,0.107,0.099,0.098,0.098,0.044,0.043,0.044,0.041,0.043,0.044,0.045,0.058,0.043,0.045,0.047,0.045,0.056,0.051,0.064,0.051,0.051,0.049
1.60,0.103,0.102,0.107,0.099,0.098,0.098,0.044,0.043,0.043,0.042,0.042,0.044,0.045,0.058,0.044,0.046,0.047,0.045,0.056,0.051,0.065,0.052,0.051,0.049
