wavelength,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
525,32583,31350,31001,27945,19974,12710,8334,5955,5136,3344,3833,2652,9974,11071,9254,9388,10038,9788,8352,9674,8046,8360,7882,9437,8899,8844,7996,8252,9811,10033,129,185,119,121,139,136,18722,18323,20030,12183,15543,11902,18161,10517,12217,14988,12063,14452,20248,10079,11756,12339,11241,13705,234,161,500,192,209,222
530,36453,35251,34928,31704,22946,14463,9501,6848,5941,3803,4346,2998,11492,12747,10645,10855,11539,11287,9606,11205,9281,9681,9090,10996,10269,10290,9181,9577,11295,11543,131,187,120,124,141,139,22046,21193,23466,14151,18032,13645,21051,12164,14196,17389,13799,16906,23734,11706,13767,14387,13097,15756,233,161,503,195,210,224
535,37448,36204,35944,32623,23778,15091,9899,7085,6164,3926,4527,3075,12139,13446,11074,11370,12068,11855,10123,11827,9761,10182,9634,11566,10915,10894,9651,10147,11910,12036,130,190,119,124,144,138,23490,22622,24901,14964,19109,14650,22498,13008,15141,18463,14572,17939,25159,12442,14663,15324,13968,16661,235,164,500,191,208,221
540,36123,34618,34468,31565,23334,14617,9629,6895,5973,3808,4384,2973,11952,13325,10935,11214,11955,11670,10016,11646,9696,10104,9532,11463,10842,10799,9542,10035,11827,11856,130,191,119,124,146,137,23630,22535,24989,14909,19142,14688,22373,12975,15230,18451,14550,18036,25420,12497,14717,15319,13897,16746,232,161,491,189,206,217
545,33234,32075,31964,29238,21612,13620,8997,6431,5579,3512,4095,2770,11340,12606,10329,10579,11272,11012,9580,11120,9230,9564,9044,10924,10301,10320,9111,9566,11291,11340,128,187,119,122,147,135,22941,21728,24177,14271,18316,14038,21728,12461,14696,17759,13996,17432,24511,12017,14249,14738,13436,16157,226,158,480,188,202,214
550,30193,29214,29260,26680,19903,12487,8286,5902,5148,3247,3722,2541,10567,11717,9595,9801,10493,10210,8907,10377,8602,8973,8412,10178,9615,9638,8520,8923,10507,10560,127,185,116,121,145,131,21588,20325,22709,13323,17255,13100,20503,11713,13809,16693,13241,16387,23115,11335,13365,13834,12688,15136,219,152,461,180,196,207
555,27815,26960,27010,24729,18382,11676,7652,5518,4775,3018,3476,2354,9945,10963,8957,9204,9792,9599,8358,9702,8066,8416,7949,9580,9034,9052,7989,8407,9854,9957,123,180,112,118,143,129,20375,19169,21428,12565,16189,12300,19414,11083,12987,15743,12475,15442,21844,10674,12674,13031,11934,14283,208,146,446,173,189,202
560,26250,25202,25254,23175,17345,10938,7231,5177,4483,2851,3272,2225,9440,10421,8534,8711,9313,9109,7950,9233,7708,7938,7538,9087,8600,8596,7604,7975,9350,9426,121,174,113,114,142,126,19491,18300,20339,11964,15422,11770,18468,10549,12460,15074,11888,14748,20918,10220,12083,12448,11434,13636,202,142,424,166,181,193
565,24750,23859,23855,21889,16473,10372,6844,4914,4252,2707,3091,2108,8983,9951,8104,8301,8933,8696,7641,8836,7345,7609,7231,8688,8230,8268,7285,7644,8944,9105,117,170,108,110,139,123,18690,17535,19502,11417,14756,11258,17752,10137,11869,14415,11341,14153,19999,9777,11606,11967,10903,13054,191,137,403,160,175,184
570,23010,22133,22178,20355,15394,9663,6423,4586,3996,2547,2891,1963,8451,9361,7619,7830,8313,8130,7203,8307,6922,7186,6825,8210,7745,7784,6875,7224,8448,8563,111,161,102,104,132,119,17612,16493,18332,10728,13876,10608,16710,9556,11244,13631,10648,13332,18916,9206,10940,11258,10298,12298,178,130,376,151,166,170
