well,strain,toto_added,ctDNA_added,well_std_conc,bio_rep,tech_rep
A1,std,TRUE,TRUE,50,1,1
A2,std,TRUE,TRUE,25,1,1
A3,std,TRUE,TRUE,12.5,1,1
A4,std,TRUE,TRUE,6.25,1,1
A5,std,TRUE,TRUE,3.125,1,1
A6,std,TRUE,TRUE,1.5625,1,1
A7,std,TRUE,TRUE,0.78125,1,1
A8,std,TRUE,TRUE,0.390625,1,1
A9,std,TRUE,TRUE,0.1953125,1,1
A10,std,TRUE,TRUE,0.09765625,1,1
A11,std,TRUE,TRUE,0.048828125,1,1
A12,std,TRUE,TRUE,0.024414063,1,1
B1,WT,TRUE,TRUE,NA,1,1
B2,WT,TRUE,TRUE,NA,2,1
B3,WT,TRUE,TRUE,NA,3,1
B4,WT,TRUE,TRUE,NA,4,1
B5,WT,TRUE,TRUE,NA,5,1
B6,WT,TRUE,TRUE,NA,6,1
B7,WT,TRUE,FALSE,NA,1,2
B8,WT,TRUE,FALSE,NA,2,2
B9,WT,TRUE,FALSE,NA,3,2
B10,WT,TRUE,FALSE,NA,4,2
B11,WT,TRUE,FALSE,NA,5,2
B12,WT,TRUE,FALSE,NA,6,2
C1,WT,TRUE,FALSE,NA,1,3
C2,WT,TRUE,FALSE,NA,2,3
C3,WT,TRUE,FALSE,NA,3,3
C4,WT,TRUE,FALSE,NA,4,3
C5,WT,TRUE,FALSE,NA,5,3
C6,WT,TRUE,FALSE,NA,6,3
C7,WT,FALSE,FALSE,NA,1,4
C8,WT,FALSE,FALSE,NA,2,4
C9,WT,FALSE,FALSE,NA,3,4
C10,WT,FALSE,FALSE,NA,4,4
C11,WT,FALSE,FALSE,NA,5,4
C12,WT,FALSE,FALSE,NA,6,4
E1,dPHZ,TRUE,TRUE,NA,1,1
E2,dPHZ,TRUE,TRUE,NA,2,1
E3,dPHZ,TRUE,TRUE,NA,3,1
E4,dPHZ,TRUE,TRUE,NA,4,1
E5,dPHZ,TRUE,TRUE,NA,5,1
E6,dPHZ,TRUE,TRUE,NA,6,1
F1,dPHZ,TRUE,FALSE,NA,1,2
F2,dPHZ,TRUE,FALSE,NA,2,2
F3,dPHZ,TRUE,FALSE,NA,3,2
F4,dPHZ,TRUE,FALSE,NA,4,2
F5,dPHZ,TRUE,FALSE,NA,5,2
F6,dPHZ,TRUE,FALSE,NA,6,2
G1,dPHZ,TRUE,FALSE,NA,1,3
G2,dPHZ,TRUE,FALSE,NA,2,3
G3,dPHZ,TRUE,FALSE,NA,3,3
G4,dPHZ,TRUE,FALSE,NA,4,3
G5,dPHZ,TRUE,FALSE,NA,5,3
G6,dPHZ,TRUE,FALSE,NA,6,3
H1,dPHZ,FALSE,FALSE,NA,1,4
H2,dPHZ,FALSE,FALSE,NA,2,4
H3,dPHZ,FALSE,FALSE,NA,3,4
H4,dPHZ,FALSE,FALSE,NA,4,4
H5,dPHZ,FALSE,FALSE,NA,5,4
H6,dPHZ,FALSE,FALSE,NA,6,4
