BEGIN HEADER 
     File Name: 82919_26.ns1
     Experiment Type: Luminescence        
     Digitizer: Fast
     Timebase:    2.000e-10 seconds per point 
     Time Range:    1.900e-06 seconds 
     Voltage Range: ±       0.100 Volts 
     Total Laser Shots: 400 
     Excitation Offset Average:      0.00100 Volts 
     Blank Offset Average:      0.00100 Volts 
     Number of Data Points: 10000 
     Excitation Wavelength:    532.0 
     Observation Wavelength:    620.0 
     Comment:  
END HEADER 
    TIME        INTENSITY 
 -9.93900e-08,      2.24375e-04 
 -9.77900e-08,      2.32578e-04 
 -9.55900e-08,     -2.59432e-04 
 -9.33900e-08,     -3.50163e-04 
 -9.11900e-08,     -8.31179e-05 
 -8.90900e-08,      4.48594e-04 
 -8.70900e-08,      4.14609e-04 
 -8.50900e-08,     -9.94531e-05 
 -8.31900e-08,     -6.79097e-04 
 -8.12900e-08,      1.53086e-04 
 -7.93900e-08,      2.87266e-04 
 -7.75900e-08,      1.59661e-04 
 -7.57900e-08,     -8.81684e-05 
 -7.40900e-08,      2.22568e-04 
 -7.24900e-08,     -1.55361e-04 
 -7.07900e-08,     -4.76406e-04 
 -6.91900e-08,     -6.23438e-05 
 -6.76900e-08,      2.69199e-04 
 -6.60900e-08,      4.48340e-05 
 -6.45900e-08,     -7.69933e-04 
 -6.30900e-08,     -4.12441e-04 
 -6.15900e-08,     -5.00670e-05 
 -6.01900e-08,     -2.74665e-05 
 -5.88900e-08,      5.66563e-04 
 -5.75900e-08,      1.78728e-04 
 -5.62900e-08,     -2.41706e-04 
 -5.49900e-08,     -4.94821e-04 
 -5.36900e-08,     -6.04661e-04 
 -5.24900e-08,     -5.33047e-04 
 -5.12900e-08,     -3.43268e-04 
 -5.00900e-08,     -3.20703e-05 
 -4.89900e-08,      3.67188e-06 
 -4.78900e-08,     -4.07552e-06 
 -4.67900e-08,     -3.36563e-04 
 -4.56900e-08,     -3.43268e-04 
 -4.45900e-08,     -7.46719e-04 
 -4.35900e-08,     -6.51016e-04 
 -4.25900e-08,     -6.50625e-04 
 -4.16900e-08,     -5.19863e-04 
 -4.07900e-08,     -1.82656e-04 
 -3.97900e-08,      2.88047e-04 
 -3.88900e-08,      8.70273e-04 
 -3.79900e-08,      1.00484e-03 
 -3.70900e-08,      9.49375e-04 
 -3.62900e-08,      6.70566e-04 
 -3.54900e-08,     -2.00039e-04 
 -3.46900e-08,     -6.65859e-04 
 -3.38900e-08,      3.82969e-04 
 -3.30900e-08,      1.59098e-03 
 -3.22900e-08,      6.72520e-04 
 -3.15900e-08,     -1.70818e-03 
 -3.08900e-08,     -3.69711e-03 
 -3.01900e-08,     -2.55974e-03 
 -2.94900e-08,      3.43418e-04 
 -2.87900e-08,      2.35888e-03 
 -2.81900e-08,      2.99104e-03 
 -2.75900e-08,      2.20003e-03 
 -2.69900e-08,      8.73958e-05 
 -2.63900e-08,     -1.25831e-03 
 -2.57900e-08,     -5.52578e-04 
 -2.51900e-08,      4.50026e-04 
 -2.45900e-08,     -8.83854e-05 
 -2.39900e-08,     -6.75625e-04 
 -2.33900e-08,     -8.96875e-05 
 -2.28900e-08,      4.15195e-04 
 -2.23900e-08,      2.80104e-04 
 -2.18900e-08,      2.85313e-04 
 -2.13900e-08,      8.15911e-04 
 -2.08900e-08,      1.68668e-03 
 -2.03900e-08,      1.81396e-03 
 -1.98900e-08,      1.23648e-03 
 -1.94900e-08,      7.49180e-04 
 -1.90900e-08,      8.76133e-04 
 -1.86900e-08,      1.66520e-03 
 -1.81900e-08,      3.23193e-03 
 -1.76900e-08,      5.36246e-03 
 -1.72900e-08,      7.77164e-03 
 -1.68900e-08,      1.12892e-02 
 -1.65900e-08,      1.46642e-02 
 -1.62900e-08,      1.86291e-02 
 -1.58900e-08,      2.37765e-02 
 -1.54900e-08,      2.86193e-02 
 -1.50900e-08,      3.41584e-02 
 -1.47900e-08,      3.91857e-02 
 -1.44900e-08,      4.52765e-02 
 -1.40900e-08,      5.49318e-02 
 -1.37900e-08,      6.30314e-02 
 -1.34900e-08,      7.16418e-02 
 -1.31900e-08,      8.02560e-02 
 -1.28900e-08,      8.82013e-02 
 -1.25900e-08,      9.42170e-02 
 -1.22900e-08,      9.73302e-02 
 -1.19900e-08,      9.87795e-02 
 -1.17900e-08,      9.93205e-02 
 -1.14900e-08,      9.94250e-02 
 -1.11900e-08,      9.89963e-02 
 -1.09900e-08,      9.84396e-02 
 -1.07900e-08,      9.79318e-02 
 -1.04900e-08,      9.72824e-02 
 -1.01900e-08,      9.69650e-02 
 -9.99000e-09,      9.71232e-02 
 -9.79000e-09,      9.74435e-02 
 -9.59000e-09,      9.78302e-02 
 -9.39000e-09,      9.81369e-02 
