Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_et_o2\2019_11_13_pcn_red_1.dux
Date Acquired:,,,"November 13, 2019 3:17 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,120.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,120.00
Factor,,1.0000
Rate dAbs/Min,,0.0208
Corr Coeff,,0.2489
Variance,,0.002287
Result unit/min,,0.0208

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.0009
1.50,,0.0009
3.00,,0.0006
4.50,,0.0006
6.00,,0.0006
7.50,,0.0009
9.00,,0.0009
10.50,,0.0012
12.00,,-0.3000
13.50,,-0.3000
15.00,,-0.1339
16.50,,0.0026
18.00,,0.0035
19.50,,0.0009
21.00,,0.0009
22.50,,0.0006
24.00,,0.0006
25.50,,0.0009
27.00,,0.0009
28.50,,0.0006
30.00,,0.0006
31.50,,0.0006
33.00,,0.0006
34.50,,0.0009
36.00,,0.0009
37.50,,0.0009
39.00,,0.0009
40.50,,0.0009
42.00,,0.0012
43.50,,0.0009
45.00,,0.0012
46.50,,0.0006
48.00,,0.0009
49.50,,0.0006
51.00,,0.0009
52.50,,0.0009
54.00,,0.0009
55.50,,0.0009
57.00,,0.0009
58.50,,0.0009
60.00,,0.0009
61.50,,0.0012
63.00,,0.0012
64.50,,0.0006
66.00,,0.0009
67.50,,0.0009
69.00,,0.0009
70.50,,0.0009
72.00,,0.0012
73.50,,0.0012
75.00,,0.0012
76.50,,0.0014
78.00,,0.0009
79.50,,0.0009
81.00,,0.0009
82.50,,0.0009
84.00,,0.0009
85.50,,0.0009
87.00,,0.0009
88.50,,0.0009
90.00,,0.0009
91.50,,0.0012
93.00,,0.0009
94.50,,0.0012
96.00,,0.0009
97.50,,0.0009
99.00,,0.0009
100.50,,0.0009
102.00,,0.0006
103.50,,0.0009
105.00,,0.0009
106.50,,0.0009
108.00,,0.0009
109.50,,0.0009
111.00,,0.0009
112.50,,0.0009
114.00,,0.0009
115.50,,0.0009
117.00,,0.0012
118.50,,0.0012
120.00,,0.0012

NET ABSORBANCES
Time,,Sample 1
0.00,,0.0009
1.50,,0.0009
3.00,,0.0006
4.50,,0.0006
6.00,,0.0006
7.50,,0.0009
9.00,,0.0009
10.50,,0.0012
12.00,,-0.3000
13.50,,-0.3000
15.00,,-0.1339
16.50,,0.0026
18.00,,0.0035
19.50,,0.0009
21.00,,0.0009
22.50,,0.0006
24.00,,0.0006
25.50,,0.0009
27.00,,0.0009
28.50,,0.0006
30.00,,0.0006
31.50,,0.0006
33.00,,0.0006
34.50,,0.0009
36.00,,0.0009
37.50,,0.0009
39.00,,0.0009
40.50,,0.0009
42.00,,0.0012
43.50,,0.0009
45.00,,0.0012
46.50,,0.0006
48.00,,0.0009
49.50,,0.0006
51.00,,0.0009
52.50,,0.0009
54.00,,0.0009
55.50,,0.0009
57.00,,0.0009
58.50,,0.0009
60.00,,0.0009
61.50,,0.0012
63.00,,0.0012
64.50,,0.0006
66.00,,0.0009
67.50,,0.0009
69.00,,0.0009
70.50,,0.0009
72.00,,0.0012
73.50,,0.0012
75.00,,0.0012
76.50,,0.0014
78.00,,0.0009
79.50,,0.0009
81.00,,0.0009
82.50,,0.0009
84.00,,0.0009
85.50,,0.0009
87.00,,0.0009
88.50,,0.0009
90.00,,0.0009
91.50,,0.0012
93.00,,0.0009
94.50,,0.0012
96.00,,0.0009
97.50,,0.0009
99.00,,0.0009
100.50,,0.0009
102.00,,0.0006
103.50,,0.0009
105.00,,0.0009
106.50,,0.0009
108.00,,0.0009
109.50,,0.0009
111.00,,0.0009
112.50,,0.0009
114.00,,0.0009
115.50,,0.0009
117.00,,0.0012
118.50,,0.0012
120.00,,0.0012

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.0009
1.50,,0.0009
3.00,,0.0006
4.50,,0.0006
6.00,,0.0006
7.50,,0.0009
9.00,,0.0009
10.50,,0.0012
12.00,,-0.3000
13.50,,-0.3000
15.00,,-0.1339
16.50,,0.0026
18.00,,0.0035
19.50,,0.0009
21.00,,0.0009
22.50,,0.0006
24.00,,0.0006
25.50,,0.0009
27.00,,0.0009
28.50,,0.0006
30.00,,0.0006
31.50,,0.0006
33.00,,0.0006
34.50,,0.0009
36.00,,0.0009
37.50,,0.0009
39.00,,0.0009
40.50,,0.0009
42.00,,0.0012
43.50,,0.0009
45.00,,0.0012
46.50,,0.0006
48.00,,0.0009
49.50,,0.0006
51.00,,0.0009
52.50,,0.0009
54.00,,0.0009
55.50,,0.0009
57.00,,0.0009
58.50,,0.0009
60.00,,0.0009
61.50,,0.0012
63.00,,0.0012
64.50,,0.0006
66.00,,0.0009
67.50,,0.0009
69.00,,0.0009
70.50,,0.0009
72.00,,0.0012
73.50,,0.0012
75.00,,0.0012
76.50,,0.0014
78.00,,0.0009
79.50,,0.0009
81.00,,0.0009
82.50,,0.0009
84.00,,0.0009
85.50,,0.0009
87.00,,0.0009
88.50,,0.0009
90.00,,0.0009
91.50,,0.0012
93.00,,0.0009
94.50,,0.0012
96.00,,0.0009
97.50,,0.0009
99.00,,0.0009
100.50,,0.0009
102.00,,0.0006
103.50,,0.0009
105.00,,0.0009
106.50,,0.0009
108.00,,0.0009
109.50,,0.0009
111.00,,0.0009
112.50,,0.0009
114.00,,0.0009
115.50,,0.0009
117.00,,0.0012
118.50,,0.0012
120.00,,0.0012
