Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PBS_ox_PYO_red_1.dux
Date Acquired:,,,"November 13, 2019 4:54 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.1512
Corr Coeff,,0.5941
Variance,,0.008388
Result unit/min,,0.1512

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,0.0000
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0638
16.50,,0.1095
18.00,,0.1207
19.50,,0.1280
21.00,,0.1354
22.50,,0.1430
24.00,,0.1490
25.50,,0.1551
27.00,,0.1597
28.50,,0.1630
30.00,,0.1677
31.50,,0.1715
33.00,,0.1749
34.50,,0.1771
36.00,,0.1793
37.50,,0.1810
39.00,,0.1815
40.50,,0.1810
42.00,,0.1801
43.50,,0.1797
45.00,,0.1788
46.50,,0.1784
48.00,,0.1780
49.50,,0.1767
51.00,,0.1762
52.50,,0.1745
54.00,,0.1737
55.50,,0.1745
57.00,,0.1737
58.50,,0.1732
60.00,,0.1728
61.50,,0.1728
63.00,,0.1728
64.50,,0.1741
66.00,,0.1741
67.50,,0.1745
69.00,,0.1749
70.50,,0.1758
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1754
78.00,,0.1758
79.50,,0.1754
81.00,,0.1754
82.50,,0.1741
84.00,,0.1737
85.50,,0.1741
87.00,,0.1732
88.50,,0.1732
90.00,,0.1728

NET ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,0.0000
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0638
16.50,,0.1095
18.00,,0.1207
19.50,,0.1280
21.00,,0.1354
22.50,,0.1430
24.00,,0.1490
25.50,,0.1551
27.00,,0.1597
28.50,,0.1630
30.00,,0.1677
31.50,,0.1715
33.00,,0.1749
34.50,,0.1771
36.00,,0.1793
37.50,,0.1810
39.00,,0.1815
40.50,,0.1810
42.00,,0.1801
43.50,,0.1797
45.00,,0.1788
46.50,,0.1784
48.00,,0.1780
49.50,,0.1767
51.00,,0.1762
52.50,,0.1745
54.00,,0.1737
55.50,,0.1745
57.00,,0.1737
58.50,,0.1732
60.00,,0.1728
61.50,,0.1728
63.00,,0.1728
64.50,,0.1741
66.00,,0.1741
67.50,,0.1745
69.00,,0.1749
70.50,,0.1758
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1754
78.00,,0.1758
79.50,,0.1754
81.00,,0.1754
82.50,,0.1741
84.00,,0.1737
85.50,,0.1741
87.00,,0.1732
88.50,,0.1732
90.00,,0.1728

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,-0.0003
1.50,,-0.0003
3.00,,-0.0003
4.50,,-0.0003
6.00,,0.0000
7.50,,-0.0003
9.00,,-0.0003
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0638
16.50,,0.1095
18.00,,0.1207
19.50,,0.1280
21.00,,0.1354
22.50,,0.1430
24.00,,0.1490
25.50,,0.1551
27.00,,0.1597
28.50,,0.1630
30.00,,0.1677
31.50,,0.1715
33.00,,0.1749
34.50,,0.1771
36.00,,0.1793
37.50,,0.1810
39.00,,0.1815
40.50,,0.1810
42.00,,0.1801
43.50,,0.1797
45.00,,0.1788
46.50,,0.1784
48.00,,0.1780
49.50,,0.1767
51.00,,0.1762
52.50,,0.1745
54.00,,0.1737
55.50,,0.1745
57.00,,0.1737
58.50,,0.1732
60.00,,0.1728
61.50,,0.1728
63.00,,0.1728
64.50,,0.1741
66.00,,0.1741
67.50,,0.1745
69.00,,0.1749
70.50,,0.1758
72.00,,0.1762
73.50,,0.1758
75.00,,0.1749
76.50,,0.1754
78.00,,0.1758
79.50,,0.1754
81.00,,0.1754
82.50,,0.1741
84.00,,0.1737
85.50,,0.1741
87.00,,0.1732
88.50,,0.1732
90.00,,0.1728
