Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PBS_red_3.dux
Date Acquired:,,,"November 13, 2019 4:50 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,-0.0515
Corr Coeff,,-0.1834
Variance,,0.015292
Result unit/min,,0.0515

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4396
1.50,,0.4388
3.00,,0.4388
4.50,,0.4388
6.00,,0.4396
7.50,,0.4388
9.00,,0.4388
10.50,,0.4388
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.1872
16.50,,0.1993
18.00,,0.2007
19.50,,0.2021
21.00,,0.2025
22.50,,0.2021
24.00,,0.2021
25.50,,0.2030
27.00,,0.2030
28.50,,0.2030
30.00,,0.2030
31.50,,0.2039
33.00,,0.2034
34.50,,0.2044
36.00,,0.2048
37.50,,0.2053
39.00,,0.2053
40.50,,0.2067
42.00,,0.2057
43.50,,0.2062
45.00,,0.2062
46.50,,0.2062
48.00,,0.2071
49.50,,0.2085
51.00,,0.2095
52.50,,0.2113
54.00,,0.2123
55.50,,0.2132
57.00,,0.2137
58.50,,0.2137
60.00,,0.2132
61.50,,0.2132
63.00,,0.2127
64.50,,0.2127
66.00,,0.2123
67.50,,0.2118
69.00,,0.2109
70.50,,0.2104
72.00,,0.2095
73.50,,0.2099
75.00,,0.2099
76.50,,0.2104
78.00,,0.2099
79.50,,0.2099
81.00,,0.2104
82.50,,0.2104
84.00,,0.2104
85.50,,0.2109
87.00,,0.2104
88.50,,0.2109
90.00,,0.2099

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4396
1.50,,0.4388
3.00,,0.4388
4.50,,0.4388
6.00,,0.4396
7.50,,0.4388
9.00,,0.4388
10.50,,0.4388
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.1872
16.50,,0.1993
18.00,,0.2007
19.50,,0.2021
21.00,,0.2025
22.50,,0.2021
24.00,,0.2021
25.50,,0.2030
27.00,,0.2030
28.50,,0.2030
30.00,,0.2030
31.50,,0.2039
33.00,,0.2034
34.50,,0.2044
36.00,,0.2048
37.50,,0.2053
39.00,,0.2053
40.50,,0.2067
42.00,,0.2057
43.50,,0.2062
45.00,,0.2062
46.50,,0.2062
48.00,,0.2071
49.50,,0.2085
51.00,,0.2095
52.50,,0.2113
54.00,,0.2123
55.50,,0.2132
57.00,,0.2137
58.50,,0.2137
60.00,,0.2132
61.50,,0.2132
63.00,,0.2127
64.50,,0.2127
66.00,,0.2123
67.50,,0.2118
69.00,,0.2109
70.50,,0.2104
72.00,,0.2095
73.50,,0.2099
75.00,,0.2099
76.50,,0.2104
78.00,,0.2099
79.50,,0.2099
81.00,,0.2104
82.50,,0.2104
84.00,,0.2104
85.50,,0.2109
87.00,,0.2104
88.50,,0.2109
90.00,,0.2099

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4396
1.50,,0.4388
3.00,,0.4388
4.50,,0.4388
6.00,,0.4396
7.50,,0.4388
9.00,,0.4388
10.50,,0.4388
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.1872
16.50,,0.1993
18.00,,0.2007
19.50,,0.2021
21.00,,0.2025
22.50,,0.2021
24.00,,0.2021
25.50,,0.2030
27.00,,0.2030
28.50,,0.2030
30.00,,0.2030
31.50,,0.2039
33.00,,0.2034
34.50,,0.2044
36.00,,0.2048
37.50,,0.2053
39.00,,0.2053
40.50,,0.2067
42.00,,0.2057
43.50,,0.2062
45.00,,0.2062
46.50,,0.2062
48.00,,0.2071
49.50,,0.2085
51.00,,0.2095
52.50,,0.2113
54.00,,0.2123
55.50,,0.2132
57.00,,0.2137
58.50,,0.2137
60.00,,0.2132
61.50,,0.2132
63.00,,0.2127
64.50,,0.2127
66.00,,0.2123
67.50,,0.2118
69.00,,0.2109
70.50,,0.2104
72.00,,0.2095
73.50,,0.2099
75.00,,0.2099
76.50,,0.2104
78.00,,0.2099
79.50,,0.2099
81.00,,0.2104
82.50,,0.2104
84.00,,0.2104
85.50,,0.2109
87.00,,0.2104
88.50,,0.2109
90.00,,0.2099
