Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PCA_red_2.dux
Date Acquired:,,,"November 13, 2019 5:09 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,0.0277
Corr Coeff,,0.0835
Variance,,0.021815
Result unit/min,,0.0277

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4380
1.50,,0.4372
3.00,,0.4372
4.50,,0.4372
6.00,,0.4372
7.50,,0.4380
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0264
16.50,,0.0506
18.00,,0.0555
19.50,,0.0625
21.00,,0.0695
22.50,,0.0777
24.00,,0.0860
25.50,,0.0971
27.00,,0.1076
28.50,,0.1188
30.00,,0.1296
31.50,,0.1402
33.00,,0.1502
34.50,,0.1601
36.00,,0.1681
37.50,,0.1749
39.00,,0.1810
40.50,,0.1863
42.00,,0.1898
43.50,,0.1925
45.00,,0.1943
46.50,,0.1961
48.00,,0.1975
49.50,,0.1993
51.00,,0.2011
52.50,,0.2021
54.00,,0.2039
55.50,,0.2044
57.00,,0.2048
58.50,,0.2053
60.00,,0.2053
61.50,,0.2057
63.00,,0.2057
64.50,,0.2057
66.00,,0.2048
67.50,,0.2048
69.00,,0.2048
70.50,,0.2048
72.00,,0.2044
73.50,,0.2044
75.00,,0.2044
76.50,,0.2053
78.00,,0.2053
79.50,,0.2053
81.00,,0.2057
82.50,,0.2057
84.00,,0.2062
85.50,,0.2057
87.00,,0.2062
88.50,,0.2067
90.00,,0.2071

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4380
1.50,,0.4372
3.00,,0.4372
4.50,,0.4372
6.00,,0.4372
7.50,,0.4380
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0264
16.50,,0.0506
18.00,,0.0555
19.50,,0.0625
21.00,,0.0695
22.50,,0.0777
24.00,,0.0860
25.50,,0.0971
27.00,,0.1076
28.50,,0.1188
30.00,,0.1296
31.50,,0.1402
33.00,,0.1502
34.50,,0.1601
36.00,,0.1681
37.50,,0.1749
39.00,,0.1810
40.50,,0.1863
42.00,,0.1898
43.50,,0.1925
45.00,,0.1943
46.50,,0.1961
48.00,,0.1975
49.50,,0.1993
51.00,,0.2011
52.50,,0.2021
54.00,,0.2039
55.50,,0.2044
57.00,,0.2048
58.50,,0.2053
60.00,,0.2053
61.50,,0.2057
63.00,,0.2057
64.50,,0.2057
66.00,,0.2048
67.50,,0.2048
69.00,,0.2048
70.50,,0.2048
72.00,,0.2044
73.50,,0.2044
75.00,,0.2044
76.50,,0.2053
78.00,,0.2053
79.50,,0.2053
81.00,,0.2057
82.50,,0.2057
84.00,,0.2062
85.50,,0.2057
87.00,,0.2062
88.50,,0.2067
90.00,,0.2071

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4380
1.50,,0.4372
3.00,,0.4372
4.50,,0.4372
6.00,,0.4372
7.50,,0.4380
9.00,,0.4372
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0264
16.50,,0.0506
18.00,,0.0555
19.50,,0.0625
21.00,,0.0695
22.50,,0.0777
24.00,,0.0860
25.50,,0.0971
27.00,,0.1076
28.50,,0.1188
30.00,,0.1296
31.50,,0.1402
33.00,,0.1502
34.50,,0.1601
36.00,,0.1681
37.50,,0.1749
39.00,,0.1810
40.50,,0.1863
42.00,,0.1898
43.50,,0.1925
45.00,,0.1943
46.50,,0.1961
48.00,,0.1975
49.50,,0.1993
51.00,,0.2011
52.50,,0.2021
54.00,,0.2039
55.50,,0.2044
57.00,,0.2048
58.50,,0.2053
60.00,,0.2053
61.50,,0.2057
63.00,,0.2057
64.50,,0.2057
66.00,,0.2048
67.50,,0.2048
69.00,,0.2048
70.50,,0.2048
72.00,,0.2044
73.50,,0.2044
75.00,,0.2044
76.50,,0.2053
78.00,,0.2053
79.50,,0.2053
81.00,,0.2057
82.50,,0.2057
84.00,,0.2062
85.50,,0.2057
87.00,,0.2062
88.50,,0.2067
90.00,,0.2071
