Kinetics/Time

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001886
Software Version:,,,"3.0,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,690_time
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\Documents and Settings\DKN\My Documents\scott\interphenazine_clean\2019_11_13_PYO_ox_PCN_red_1.dux
Date Acquired:,,,"November 13, 2019 5:22 PM"

Analytical Wavelength:,,,690.0 nm
Bkg Wavelength:,,,250.0 nm
Bkg Correction:,,,No
Number of Samples:,,,1
Sample Assignment:,,,S
Interval Time:,,,1.5 sec
Total Time:,,,90.0 sec
Factor:,,,1.0000
Units:,,,mg/ml
Temperature:,,,N/A
Delta Abs:,,,No
Curve Offset:,,,None
Read Average Time:,,,0.50 sec

RATE DATA
,,Sample 1
Initial Time,,0.00
Final Time,,90.00
Factor,,1.0000
Rate dAbs/Min,,-0.0027
Corr Coeff,,-0.0084
Variance,,0.021026
Result unit/min,,0.0027

ANALYTICAL ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4372
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4365
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0461
16.50,,0.0513
18.00,,0.0618
19.50,,0.0729
21.00,,0.0836
22.50,,0.0935
24.00,,0.1029
25.50,,0.1113
27.00,,0.1196
28.50,,0.1269
30.00,,0.1327
31.50,,0.1390
33.00,,0.1442
34.50,,0.1494
36.00,,0.1539
37.50,,0.1576
39.00,,0.1610
40.50,,0.1639
42.00,,0.1664
43.50,,0.1694
45.00,,0.1715
46.50,,0.1737
48.00,,0.1758
49.50,,0.1775
51.00,,0.1780
52.50,,0.1780
54.00,,0.1788
55.50,,0.1788
57.00,,0.1788
58.50,,0.1784
60.00,,0.1775
61.50,,0.1775
63.00,,0.1780
64.50,,0.1780
66.00,,0.1775
67.50,,0.1767
69.00,,0.1762
70.50,,0.1762
72.00,,0.1754
73.50,,0.1754
75.00,,0.1749
76.50,,0.1745
78.00,,0.1749
79.50,,0.1749
81.00,,0.1758
82.50,,0.1758
84.00,,0.1767
85.50,,0.1775
87.00,,0.1788
88.50,,0.1797
90.00,,0.1797

NET ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4372
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4365
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0461
16.50,,0.0513
18.00,,0.0618
19.50,,0.0729
21.00,,0.0836
22.50,,0.0935
24.00,,0.1029
25.50,,0.1113
27.00,,0.1196
28.50,,0.1269
30.00,,0.1327
31.50,,0.1390
33.00,,0.1442
34.50,,0.1494
36.00,,0.1539
37.50,,0.1576
39.00,,0.1610
40.50,,0.1639
42.00,,0.1664
43.50,,0.1694
45.00,,0.1715
46.50,,0.1737
48.00,,0.1758
49.50,,0.1775
51.00,,0.1780
52.50,,0.1780
54.00,,0.1788
55.50,,0.1788
57.00,,0.1788
58.50,,0.1784
60.00,,0.1775
61.50,,0.1775
63.00,,0.1780
64.50,,0.1780
66.00,,0.1775
67.50,,0.1767
69.00,,0.1762
70.50,,0.1762
72.00,,0.1754
73.50,,0.1754
75.00,,0.1749
76.50,,0.1745
78.00,,0.1749
79.50,,0.1749
81.00,,0.1758
82.50,,0.1758
84.00,,0.1767
85.50,,0.1775
87.00,,0.1788
88.50,,0.1797
90.00,,0.1797

CORRECTED ABSORBANCES
Time,,Sample 1
0.00,,0.4365
1.50,,0.4372
3.00,,0.4372
4.50,,0.4365
6.00,,0.4365
7.50,,0.4365
9.00,,0.4365
10.50,,-0.3000
12.00,,-0.3000
13.50,,-0.3000
15.00,,0.0461
16.50,,0.0513
18.00,,0.0618
19.50,,0.0729
21.00,,0.0836
22.50,,0.0935
24.00,,0.1029
25.50,,0.1113
27.00,,0.1196
28.50,,0.1269
30.00,,0.1327
31.50,,0.1390
33.00,,0.1442
34.50,,0.1494
36.00,,0.1539
37.50,,0.1576
39.00,,0.1610
40.50,,0.1639
42.00,,0.1664
43.50,,0.1694
45.00,,0.1715
46.50,,0.1737
48.00,,0.1758
49.50,,0.1775
51.00,,0.1780
52.50,,0.1780
54.00,,0.1788
55.50,,0.1788
57.00,,0.1788
58.50,,0.1784
60.00,,0.1775
61.50,,0.1775
63.00,,0.1780
64.50,,0.1780
66.00,,0.1775
67.50,,0.1767
69.00,,0.1762
70.50,,0.1762
72.00,,0.1754
73.50,,0.1754
75.00,,0.1749
76.50,,0.1745
78.00,,0.1749
79.50,,0.1749
81.00,,0.1758
82.50,,0.1758
84.00,,0.1767
85.50,,0.1775
87.00,,0.1788
88.50,,0.1797
90.00,,0.1797
