phz_conc,phz_mol,1,2,3,4,5
0,PYO,1550.2,1517.4,1578.2,1532.4,1171
0.1,PYO,1393.2,1389,1390.6,1345.6,1407.4
1,PYO,1566.2,1133.2,1184,1371.4,1451.6
5,PYO,1515.8,1317.4,1389,1795.2,1594
10,PYO,1600,1493,1772.2,2011,1779.8
50,PYO,1444,1534.2,1562.4,1542.6,1394
100,PYO,1214,1396.8,1621,1367.2,1045.6
500,PYO,395.2,360.2,330.6,216.4,319.6
750,PYO,185.6,186.4,186.4,139,135
1000,PYO,92.2,87.2,128.8,56.8,119.4
0,PCN,1235.4,1307.4,1668.4,1281.6,1347.2
0.1,PCN,1400.4,1195.8,1378.2,1273.6,1243.2
1,PCN,1754.8,1459,1264.4,1698.8,1061.2
5,PCN,1437,1208,1321.6,1401,1743.4
10,PCN,1991.6,1141.4,1537,1650.8,1376
50,PCN,1305.6,1625.4,1228.2,1335,1489
100,PCN,1316.4,1703.2,1308,1401.8,735.2
500,PCN,911.8,692.2,812.8,831,590
750,PCN,849.4,762.2,765.6,736,550
1000,PCN,348.2,450.4,472,373.8,366
0,PCA,1138.6,1306.4,818,1473.2,847.6
0.1,PCA,1116.4,977.8,683,665,757.2
1,PCA,830.8,652,1094.8,738.2,846.8
5,PCA,1501,708.6,952.6,900,-22.6
10,PCA,1170.2,758.8,689.6,813.6,231.6
50,PCA,1067.8,1097.4,754.6,888.4,561.4
100,PCA,951.2,883,699,385.6,407.4
500,PCA,927.4,1306.2,1059.8,996.4,639.4
750,PCA,1730,1015,841,1250.6,1026.6
1000,PCA,1570.8,1020.8,1307.8,1347.8,1301.8
